scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,F' L2 U' R,B' F' D2 U R' U' F,B' R2 D' R' B L' D L R' B',D L' U F2 D' B D2 U' R F2 D2 B2 L' U2,F2 L2 D' B2 L2 F2 U' R2,43
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,R B' D',F' D L U B L' F L2 D,B' F2 U B2 U' B' F' L' F',U R' D2 L U' L' B' U' B D2 U2 R U2,R' F' U2 F L' R U' B2 U L,44
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L' U F D',U' L F2 L F2 U2 B2 R U',B F2 D' L' B L U' R' D F2,D L2 D' U L2 B' L R' U L R B2 U',R B R' B' F' U2 B2 U B' U' B' U2 F,49
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,L2 D F',U R B2 R2 D U' B L D',F' D2 R' D U' B D U F,L' R D B R B F' R' U' R' B' U' F L,R' B D' U R2 D U' B R,44
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,R2 F2 U2 F' L U',D' L U2 R2 B U2 R B' U2,L U B U' B R D2 R' B2 L2,B' D L U F2 L2 U' L' U L' F2 D' B' U',F2 L2 D' B2 L2 F2 U' R2,47
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D' L2 F R2 F,B' U R B U' B' D' L',B2 D2 L F' D' F R' B2 R B2,L D L2 U' L U L' F2 U F2 D' L,L' U' B2 U L R' F' U2 F R,45
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R' D B D2 F',L2 F' D B F,B R D' R' B2 L B2 L' B2,U2 B R B' R' U2 B' F U L' B' L F',R B R' B' F' U2 B2 U B' U' B' U2 F,45
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L' R U' R2,D' L' F2 D' F R D R2 F2,D R D R' F L' F2 R' B2 F,B' U' R B' R D L B D F D2 B' R2 U,R' F' U2 F L' R U' B2 U L,47
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,F' L2 D F',U' R' B2 R F' U2 R' U',D2 B L' D' F2 U2 R' U B2 F2,L' D L B D L F' D' B' F D',R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,47
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,U' F2 U2 L U',B2 L' R D2 U F' D U',D' B' F R2 D F' D' R2 F' D2,F U R2 F2 L D' L' D' L' F' D F' R2 U2 F',F2 L2 D' B2 L2 F2 U' R2,46
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D2 B R' U,U R' U' L2 F' D B2 R' F,B D' L' D L F L B' F',D U2 F U F' U L2 D' R U B' U' R',R' F' U2 F L' R U' B2 U L,45
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,U F R',B' R U2 F' L D' U2 R2,D' F D' L2 F2 U' B2 R2 F D,U' L B L2 U' B' U B L' B' U2 L' B U2,L' U' B2 U L R' F' U2 F R,45
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,D B R' D2 F',F' L2 R U B' R' U2 L,L B2 R F' D' F2 L2 F' R' B,U' R2 F D' L2 F' L2 D R' B' R F' R2 B,,37
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,F' U' L' F' U',F U' L2 R U2 L F L,R' U2 B L2 B' U2 R' F R2,B2 F2 D' R F' U' R' U2 R U2 F D B2 F2,F2 L2 D' B2 L2 F2 U' R2,44
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,F2 L' U L2 U2,L U' F2 U B2 L2 D' B,D' R2 U F2 U' R2 B2,D' U2 R D' F2 D R U' R2 D2 U' L' D' B,R' B D' U R2 D U' B R,43
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,R' D2 U,D' L' D2 B2 U' F U B2,B' L2 U B R B D2 B' R' U',B2 U B' U2 B' U L U' L' B U B2,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,47
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,U2 R F' R2,B' U2 B R U L2 D2 R F,R' F' R2 B L D2 R F' R2 B2,B2 L2 U B U' B U' L' D L' D' U L B',R' F' U2 F L' R U' B2 U L,47
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U L D' R2,L' D' F' D2 L2 B2 L R2 F',B' D' F L2 B L' F' D',L' D' B' D2 U L2 D' L F' L' F L' B2 U2,,35
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,L' D2 F' D2,F R U2 L2 B2 D2 R F',R' U' R B2 F' R' F2 L R F' U',B' U' B2 L B' R' U' L' R B' L' U' L2 U2,F2 L2 D' B2 L2 F2 U' R2,45
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,B' F2 D' B' U2,R F' D2 B2 R' F' L' F2,U' L2 R2 D2 R2 U' L2 U' B2,U2 B2 F' L F L' U2 B F U' F' U B U2 B,R' B D' U R2 D U' B R,46
