scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F U' B R2 U' B2,L2 F U2 L' U B' U2 B2 F' D B',R' D R' D2 R' F2 R D R' U F2 U2 R' U,L2 U L R' F' L2 F L' R U',41
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,R F U' F D2 L',B' R2 F' R' D' B D2 F R' D' L2 B,B' D' B2 R B2 L' B2 R' B L B D B,,31
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L' R U2 L' B,U2 R2 D F' D2 L D L F R2 U2,F2 U' L B U2 B2 U' B2 U' L' B' U F2,U2 B F' L2 B' F,35
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D2 L' B' U B F2 R,B2 F D B' D' B' L' U' F',L B R F2 R D2 F R2 B2 U2 B L' D2 L2,B2 F2 U' R B' U R' B2 F2 L D' B L' D,44
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R B' F L U' L',U' B2 R2 D B' F' D F' U L2 U' B' F,R' U2 R' U2 B' L2 B' R' B2 R2 F' D2 F,R' B F' U L2 U' B' F R U2,42
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D' F2 L U B' F2 U2,B D2 F L' F' D L' D B' L,D' U R2 U2 L' U L2 U L' U2 R2 D L U',B2 F2 U' R B' U R' B2 F2 L D' B L' D,45
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L' R2 B' U B2 U F,L R2 D' L' D L D2 R' B' R' D2 L',F R2 F' L' U2 F D2 B2 D' B' D' F' U2 L R2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,48
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,R2 B D L2 B L' F,F U2 F U2 F2 R' D' L' B D L2 R,R2 B' L2 B2 U L2 B2 L2 U' L2 B' R B L2 B' R,D' B F' R' U2 R B' F D' R2 D2,46
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,B' R' D2 R2 U' F',L' D' R' D2 F D2 L' F' R D L,F D' F2 U F2 R2 B2 U B D U' B2 R2 F D F2,U2 B F' L2 B' F,39
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,B2 F2 D' F2,U2 L' U2 F2 L U L' F2 L2 B D L2 B',L' B D' L D2 R D' L' D R' D' R2 D R2 B' L,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,47
