scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,L' U B F L D' U2 F,L' F' L R' B2 U' B2 R F,D2 U' R' D' U F U' R2 D' U F2,R2 D R' F' D' F2 D R F D' R2 D2,,40
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,D' R2 U' L2 R' D' F,D R2 B U B' R2 D' F2,D2 L D L U2 R2 U' B U' L2,B2 R2 U F2 R2 B2 D L2,D F' R2 B U2 F' U2 R2 B' D2 F D,45
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,R2 D F' R' D F2 R' B2 L',R2 F' R' D2 R' B' L2 B,D U' F D' F' R' D R U,D U' B' D' B F' R F D' U,F' L' F D2 B2 D2 L' U L D2 U' B2 D2 L,50
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,B L' U B' F' R D' L2 B2,D' B' F2 D F2 D2 L' D' B,L2 U B' U B R B' R U2 L2 D2,L' R2 F' R2 D2 R2 F' R2 D2 L,D L D' L B2 R' U R B2 L2,49
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,D B2 L' B2 U F R F2 L2,F' R2 B U' B' F2 R2 F D,D2 F2 L D L' F D' L D' L',R' F2 R2 D' R2 F2 R2 D' R',F' L' F D2 B2 D2 L' U L D2 U' B2 D2 L,51
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,D' B L' B' F' R D2 B R',F R2 F D' B R2 F2 U' B',D' F D2 F' D' R F' R' F' D2,L2 D B' F L2 B F' D L2,F2 L' F' L' U2 R2 B' R' B R' U2 L2 F2,50
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,F' D2 B2 R' D2 L' R U2,B R F U F' R' B',D F U2 B' R' B R D' U2 F',U2 L B' L' R D R' U2,L' D2 B2 D2 U L' U' L D2 B2 D2 F' L F,47
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,L D R' B2 R2 B' R' D' B',D2 F' R' D B U' R B' D,D' F D2 L' U' F' R2 U L D2,R' U F2 U' L' R B U2 B' L,D L2 D' B2 U B' D' B2 U' B2 D B' L2,51
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,U' B' L' U2 R D2 F U' B' D',D2 R2 B F U B' R' F2 R' D2,D F2 R' D' F' R' D2 F D R,D B' R F D F2 D' R' F' D2 B D' F,L' D2 B2 D2 U L' U' L D2 B2 D2 F' L F,57
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,D2 R' F' R U2 L R2 D U2,D B L F' L' R' U' B' R,D R F2 R' D2 L D L',F2 R D' L' R F L R2 F2,L' D2 B2 D2 U L' U' L D2 B2 D2 F' L F,49
D R' D2 U2 B U F U D2 L F2 U2 F2 L R2 D L D F' L2 U2,x2,F U R2 D' U2 F R B D',B' L' D2 F2 D' L D' L B,L D' B L B L' B' L' D,B' L B' U' L' B2 R' F' R' F D' R2,B D' R' B' L B2 U' B' R B' L' D,51
D B D F' L D' B2 R2 B D2 U2 R L' F2 L2 R D2 F' L B' R' D2 B' R2 L,x2,R F2 L2 F D2 R2 B' U L',B U B2 L B' U B' U2 B',U L' D B2 D' L U' F' L2 D2 L2,D' R D' R F2 R' F R' D2 R2 F2 R2,F' L' F D2 B2 D2 L' U L D2 U' B2 D2 L,55
L2 F U D2 R L2 U B2 R2 D' L' F2 D' L' U2 D2 R' L F' B',x2,R F U B' R' B F' U2 B2 L,B L U L2 U' L' B',F R' F L' F' L F' D F D2 R,D B F' R F2 R' B' F D F2 D2,L' D2 B2 D2 U L' U' L D2 B2 D2 F' L F,53
F' L R2 B D2 U L R' B2 L' F' D2 F' U L' B2 U' L D' B F' D2 B D' B',x2,U B' U2 B U2 F D2,B D2 U F U2 F' D2 U' B',L D' R B D R B' D' L' R',F' R F' D B F' R' B' F2 R' F,D L D' L B2 R' U R B2 L2,47
D B' L' F L2 D' F2 B' D B' D' F R' B F D2 L U F2 D',x2,B U F' L2 U' L' R2 D2 U B2,B' L' D L D' L B,L2 U' F' U L U L' U' F L2,U' F R' D' F' R' U2 L2 D2 U' L F L,D L D' L B2 R' U R B2 L2,50
U F' B' L' D' F R' L' D R' F U D2 B L' U L B D F L,x2,L2 F D F U2 B' L U F2 L2,R2 B U' F2 L F' U B' R' U' R',U2 F' L2 R2 U2 L2 R2 D2 F U2,D F D U' R' D' R' D' U F,F2 L' F' L' U2 R2 B' R' B R' U2 L2 F2,54
U F R2 B F2 U2 F' U L B U' D2 F' R2 B' U' F R2 F' U2 L' B',x2,F U' L R B L2 R B' L2,B F' R' D U' R D' B' D,D' L F' R F R' F D F' L',D' B' D' L' B R B' F2 L B R',F2 L' F' L' U2 R2 B' R' B R' U2 L2 F2,52
F' U D2 B2 D' R2 L2 U F R' L F2 B' D2 L D' B' R2 D F2,x2,D B2 L2 U L' D2 B R' B2,B' D2 L D2 F' D2 L' D2 B,U' R' U2 B2 D2 L' D2 B2 U',R' D' B F' R2 B' F D' R,L2 D F D' F2 U L2 U' L2 F D' L2 D,49
U B' U2 L D R2 B' D F' R' B' L B' L2 U2 F D L2 F U F' D' R2,x2,U2 B R U L' B' F D2 L,R2 F2 R2 B2 L2 B2,D F U' R2 B' D' B R2 D' U,L' R2 F' R2 D2 R2 F' R2 D2 L,F' L' F D2 B2 D2 L' U L D2 U' B2 D2 L,49
R U2 F2 D F R2 F B' R D F D2 F2 L U2 D' F2 U2 B F' D U F B2 R',x2,U R U2 F2 L2 B' L' R' D L',D B' L2 B2 U R U' B' F' D,D2 R' F L D' L R' U' B' U L2 D2,L B2 L' R D L2 R2 U L2 R,F' L' F D2 B2 D2 L' U L D2 U' B2 D2 L,56
