scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R' F2 U' L' B D R B' U' F2,L' B2 U' B2 L2 B2 L B R' U L2 F R,B2 F L2 F L' B2 R B2 L' B D2 B F',U2 B F' L' F L B' F U' F' U',47
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D2 L2 B D' L D' R2 F,D' F' L F R2 D R B' F' L' R D2,F' R' F R F D' F D R' D' R' F R D,L2 U' L' R B L B' L R' U L,45
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D F' L2 B' L R' B' R2,B2 R U R B F R F L2 F U F,R F R' B R2 D R2 D' B' L' F L F',L' B2 D2 F2 R F2 D2 B2 L2,42
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D B' U2 R2 F' D' F2 L F,B L' B U' B L D2 B2 U L B',R F' R' F2 R B' D' F' R F' R' B F' R,U2 B F' L' F L B' F U' F' U',45
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B2 D2 L' B U2 L' F D2 F',R2 D2 B2 D R F' R' B2 D2 R2,D' F U' R2 U R' U F D' U' F2 D2,D' U' B' D2 L2 D2 B' D U B2,41
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U B' D2 F R B' F' L' U',R' B' U2 F' R F2 R' D F2 D L U2,D2 U' L F2 U' L' U B F2 L' D2 R2 U F,D F' D B F' R' F R B' F D2,46
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,D' L D R2 F R' B' L' U',U F L' U' R' B F' D2 L' D2 L D,D F R' F L R B R B' L' R' F2 D',U2 B F' L' F L B' F U' F' U',45
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U B U2 B2 U2 L2 R' F2,L B' U2 B D' U2 F2 L D2 L2 R D U2,B' L2 R2 B U R B' L2 R B2 R U R' U' B',D' U' B D2 L2 D2 B D U B2,46
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F2 L2 F2 U2 F L F R2 D2,R B2 D L2 R2 U B L2 R2 D2 B2 R',U' B' R2 B R' U B' D B D' F D2 R2 D' F',D' U' B' D2 L2 D2 B' D U B2,46
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 F' U2 L B2 L2 B R',L' D2 U' L D U B' L U B U',D' L2 B' R U2 F R F' U2 L2 R D2 F R2 D,D2 B F' R' F' R B' F D' F D',45
