scramble,orientation,step_0,step_1,step_2,total_moves
D L B' F D' U B' R2 B2 L F L2 U B2 R F2 U2 F2 R U,x2,L2 F2 D L2 F D R' U F' L',R B' U R2 D' F' L' F2 L2 D R F',B2 R' F' R B' R' B' F R' B R' B' R2,35
L F2 U2 R2 L D' F' U' F' R' L F L2 B' F R' L' F R B' U' F2 L R2 F',x2,D2 R B F U' B' R D2 L',L2 D2 B' L2 F' L2 R B2 D B' D L2 F U,U' R2 U' L U R2 U' L' U2,32
F' R' L B2 U2 R D' R D' B' F' D' B2 D L F' L' D R D' L2 B R' U' D',x2,R U2 F2 D' R D' U' B R2 B,F' U' F L F R' F D F' D F D' L' R,B' U2 B R' D2 R B' U2 B R' D2 R,36
B2 R U2 D2 B' F2 R' U2 L R' B' U2 R U' D2 L' B U2 R' L B2 U' L2 B',x2,R F2 D' B L D B F2 D' L',L' F U2 F U2 F2 D' U2 B' U2 L U B D,D' F D2 L D L' D F' D B R B',36
B' F' D' L F2 R' L B F R' L2 D' L U2 R' F2 U' L' B2 U',x2,U' F D' U2 L2 B' R' U2,L2 F' U2 L U2 F2 U' L U F' R B2 L2 R',F R' B R F' R' B' R,30
B2 F2 U' L2 D2 F L2 U2 R2 U' R F2 D L2 F' L' F' B R' F2 U2,x2,B' U2 F2 U B' U2 F R' B2,D U R F2 R' F U2 B' F R B D' F2,U' R D' R' U2 R2 U' R' U R' D U' R',35
R F2 U2 R' B D' R2 U F2 R' U2 R' B R B U' D2 F L2 F D F' D L,x2,R' B F2 D' B2 R2 B F2,U2 R B' R' F R2 U B' U' B R2 F' U',D' R' D R B F D B' D B D2 F' R B',35
D' R2 F' D U' R' D U' F L F U2 D' R2 F2 B' R' B' D2 F2 D2 L' R2 F',x2,B D2 U2 L R U' B F D' R D,L F U2 L' R U R D2 B D2 R' U B2 U' R',R B' U2 B R' D2 R B' U2 B R' D2,38
U' D2 L B' U R B L' D' L' D R' U B2 R2 L' U D2 B2 U D2,x2,U F' L' B' D F D R B,B D L' R F' R' D' B' F' L2 R2 B2 R2 F L',D B R B' D2 R D2 R2 D2 F' R' F D,37
D F2 U2 F B' U2 B D2 F2 R' U2 R' U' L' D2 L' U R2 D2 F B' U L' B2,x2,U2 B2 F' U L2 D' F2 R D' L,F L2 U' F2 L' B L' F2 U B U' B' U L2 F',R' D B' U L2 U' B D2 F' D' F2 D2 R,38
