scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R L2 F2 D L R F' D2 L' U2 L' U' B L' R F D' L2 D L F2,x2,U R F2 D B U' F' D',L2 R D' L' R2 U L' R B',F' L' F R2 D R' D2 R' F' L F,L' R2 F D' F' R' D L B R' B',R B R' U' L' D' B' D L U,49
F D' R2 D L D2 U2 R' F' R2 U' F2 L2 B D R' U2 F' D R' F' U,x2,F' L' B2 D' F L' B' F2 L2,L' F D' R2 B' D F' L,U L' F2 D2 R' D L D2 R D' U',L' F' D R D2 R' D' F D2 L,B2 L2 R D F2 L' B2 L F2 D' L' B2 L' R',52
R' L B' R' F' U R2 L2 B2 R' B D B2 D F' B2 L' D U R' L,x2,L2 B D' L2 B2 R2 F D,B U L R' U' F' L' R,L' F' U B' D' B U' R D F L,D2 R D' R' B D' B' R' B2 R B2 D',R' B' R D' F' U2 L U' R U L' U2 F D,53
R' F' D2 L D' B2 F2 U D' F B D R2 U F' D R D2 L' R2 U2 D L',x2,F' L D' B L2 D' R,L F2 R U' L' B U2 R',D' B2 D F R U' L2 U R' F',L' R D' L B F D B' D' F' R',D' B2 R' B2 R B2 D U' F' L2 F U2 B' U',50
B' F' L U R F' B D B R D2 B' L D B D2 F' D' L2 R B U L R2,x2,U L R2 B L2 U B R2,F2 U2 F2 R' U R,L' U' R' B2 R U L' D2 L2,L B' L D2 L' B L D2 L2,D2 B L' R D2 L R' B D2,41
B' U' L2 R B2 L2 U' B F' R F R D R2 L' D2 B' D' R2 L2 F',x2,R D' L2 D U2 B' R',B R' U L U' L' R B',F' L B F' U' F R B' L' R' F,D L U B2 U' L' D' U' L' D2 L U,D' R' B2 R D' L2 U F' R2 F U' L2 D2,51
L R' F D' F' R' D' L' F D U F' U2 L2 D' F U' F' D2 U R' D' R2,x2,L' F2 R2 U R D2 F,U F2 U2 L' B L F2 U',L' U' R' B2 R U L' D2 L2,L2 R' U F U' F' R' F L2 R2,D L' D2 F2 U' R' U F2 D' L D2,45
L2 B L' U2 B' D L D' U' R' U2 F L2 R2 D2 B2 R D F L2 F' L',x2,B2 L' D B' R B2 L' U2,F2 U' L' R U2 R' B' L,F U B' L2 B F2 D F' U' F2 D',F2 R2 U' R U' L' B2 L U2 R F2,B' L U2 R' F R' F' R2 U2 L',48
U F B D' U2 B L' B U L' B' R U2 B U' B2 U2 D2 F2 R' D2 U2 B,x2,L R' B' U' L' R2 D2 F',L' D B L2 R' U' L' B' R,L' B L2 F L B L B2 U2 L F',D2 R D' R' B' D2 F' D B D' F,U B' D' B U' B2 D2 L B L' B' D2 B2 D,53
L2 R' D' L' B' D R' U' R' D' R D F R L2 D' R2 D' U' R' F2,x2,B' R D2 L2 D' B U,D2 R' B' D2 L F' L2 F2 L,F2 L B U B' L' F2,L' B R' B' D' B' D B R2 D L R',L' B U F2 D F' D R D2 F' R U' B' L R',50
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,L U L2 F R' B L' D',R2 U2 L2 R2 D2 L2,B D' F' R' D2 R2 D2 R F D B',R' B R2 D' R' B' D' B D R' B' R,L' B' L U R D B D' R' U',47
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,D2 F R' U2 B L' F2,D2 B' D2 L' B L,B D2 F' D' R2 D F D2 B',F2 R' U' R B' U' B' U B U F2,R2 F' U2 L2 F R F' L B2 L F R B,46
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,D U2 B' L' R2 F',U F2 U2 B U' B' F2 U',D2 F2 R' U' R' B' R2 U F D2 F,D2 B' D2 B D2 U' B D2 B' U,L' D F U2 B U' B L B2 U' L F' D',48
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,B R' D2 L' U2 B' L',F2 D2 U R B' R' D2 F2,F2 U F' U L' U' L U' F',L' R' B R B' D L B R' B' R,D U2 F' L' F U2 B' R B' R' B2 D',47
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,B2 R D R2 B' U2 L' D,B2 L R' U' F L' R U' B',U L' F' L D' B D B' L' F L U',D' L' D' B' D L D' B' L' B2 L D2,B2 R U' F2 U R' B2 R U' F2 U R',53
