scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,F U B D2 L2,F D F' R F' R2 D' F,L2 D2 F2 R' F2 R2 B D2 U L U L' F U',L' U' B D2 B' U B D2 B' L,37
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,F U B2 R B' D U2,R2 F2 L' B' F2 R2 B L,B R F2 D2 B U B' D2 U' F2 R' B',R2 U' F L2 F' U R2 U' F L2 F' U,39
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,B U F' L' F2 L' D' U',L' F U' F L' U L2 F2,L R' U F R U' B D' U2 L D U2 B' L',B2 F U L2 U' B2 F' D' R F' D2 F R' D,44
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,F U2 F2 L2 R' B U',L2 D U2 R' D' L2 F' U2,L U R' B U F' U' B' F U F2 U2 L' R,D' B2 L B L B2 U' L' U L B2 L2 B D,43
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,F U2 L2 R D' L R U',F' D R F R2 D',L' U2 L' B U2 B' U' L D' U2 L' D U' L,F' D2 R2 D2 F D' L F2 U' B2 U F2 L' D,42
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,U R U R D2 B',U B' D F' R' D' B U',B' U L D2 L' B2 R2 D R' F2 R' U' B',B2 L' U2 F L F' U2 B' R B2 D2 L B R',41
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,R2 D2 B2 F U F,R B' D' B F2 R' F2 R',D' L2 B L2 B' L2 B D2 R2 D' R F' R2 F R',L' B D2 B' U' B D2 B' U L,39
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,L2 R' D' B' R' D U2,U' B L' F' U' L2 U2 B',B' L2 U2 R' D' F' U2 L2 D2 R U L' F L U',B2 D2 U R' B R D2 B' U' B L B L' B,44
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,U R2 B R' D U R2,L R2 D' B L' D R2,F2 D2 B' D R2 U2 R D' F2 D2 B U L B2 U2,R2 B L' B' R2 B L B',37
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,D' R' B F L U2 R2,D F2 R' F R2 F R2 D',D2 L' F2 D' U2 L2 D' R' U2 L2 U2 B' F2 U' B',R B' L' D2 B2 R' B U2 F L' F' U2 L B2,44
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,L U L' U B' U2 R2 D,F' D R F R2 D',B' D2 B R' D' R D2 R' D' B R B' D2,D L' B U2 B' L F R2 F R F2 D',39
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,B' U2 L' U F2 D' B,R2 F2 L' B' R2 B F2 L,R' D R' D L2 B' U2 B R' U2 B' U2 B2 L2 D2,D L' B U2 B' L F R2 F R F2 D',42
