scramble,orientation,step_0,step_1,step_2,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U R2 U R D B' D U2 R,L U F2 U B2 L' D' L' D L2 U2 F2 D2 L',U' R2 B2 U' R D L2 D L D2 R' U R2 U,37
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L R U' L D2 R' F' D,F L2 D' L' D U F L' U2 R' U L' R2 F' R,U' R' U2 F' U2 R U' B D' L' D B' U2,36
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D' F2 R' B' L R' F' U2 B',R B' R' F R F' D F' D2 F' D B F R' F,U' B U2 L2 U2 B' U R' B' D F2 D' B R,38
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D2 F' D B' D2 B' F' D L',R F U2 R2 B' R B' L2 D2 B2 R U' F U' F',B L F2 R U2 B2 R F D2 B R2 D2 F D2,38
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B F D' R D2 F U2 R' D,R2 D R D' U' B' D' F' D2 B R' F U R2,U' R2 D' U2 F U' F2 D R2 F R2 F',35
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,R' B F U L' D U2 F D2,F' R' B' D' R2 D2 R F2 R U F U' F2 D2 B,R U F2 D U' R D B2 U' L U B2 D2,37
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L2 D' U L U' B' D2 L2 D',B' D F U F D2 L B D B' D' L' U' B F2,R2 F' R2 F D' R2 B R2 B' D2 F D' F',37
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R2 F' L D2 B2 F2 R' B L',R2 B' R F' D2 F' R D' F' D' F2 R2 F' R B,U' R U R2 D' L' F' U L' U' L2 D R F,38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L' D' B2 L R' F L' D2,B D B U F2 U' B' F2 R' F R D' B' R2 F' R2,F' R' B L2 F' L' F2 L' B' R U2 F,36
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R2 F L D2 U2 F2 U' L U,R U B2 D U2 B D R D B' D U2 B2 U' R',U2 B2 D' F L F2 D F D2 L D L2 D B2 U2,39
