scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,L R2 D2 F' D2,R D2 U' L' F' L U' B2 F2 D L2 B R2 U,B' D' F U2 R' U2 F' D B R B' R' B R',F2 L2 B F D F' D' B' L2 F L F L',46
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,L2 F' R,R F2 R2 F D' F' L2 F2 D U2 F2 L,B R2 B' D2 F D U2 F U2 F' D R2 U R' U',,30
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,U2 F L2 D' R,L B2 L B R D' U' B L' B F D B',U2 B F D' L' F' R U' F' L F R' D B' U2,,33
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,F' D L B2 D',F2 R2 D B' D' F' U B2 D L' F' R' B2,B' U R D B U B' D' B U2 B' L' B' L B,,33
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,F2 D2 R',F' R2 D L' D B D2 L D' L2 U2 L' R',U B2 U' R2 B R2 F' U' B2 U F D' U2 R2 D,,31
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D2 L U F2 D',L2 D' L U2 L B D2 R B2 R B2 D' R,D2 B' R2 B L D2 U2 F' L2 F R2 D2 U2 L D2,,33
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,U2 B2 U2 L' D',D2 R' U2 L2 F L2 R' B U2 R' F2,U2 L F' L2 B2 U' L2 U2 F U2 F2 R D' F2 L',F2 L2 B F D F' D' B' L2 F L F L',44
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,R2 B R D,R2 U2 R B2 L' B D2 U' R F U' B L',U' B U2 R U' R' U2 R2 U' R2 U2 F' U2 B' U F,F2 L2 B F D F' D' B' L2 F L F L',46
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,R2 F' L2 B L2,U2 F L2 F2 D R B D' L U2 F' U L2,B' L D2 R D' L' F' R2 U F2 L' B' U' L B U',F2 L2 B F D F' D' B' L2 F L F L',47
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,U R F' D2,D L2 D2 U' B2 L' D' R F D B F D2,U' B2 F' D U2 L' D' L2 F2 R' F L2 B' F2 R B2,F2 L2 B F D F' D' B' L2 F L F L',46
