scramble,orientation,step_0,step_1,step_2,total_moves
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,R2 B' L B U' R' D U2 L,R D' U R B' D2 F' L2 F' D' B' D L2 B' D',F' L2 B D2 R2 F R2 B' D2 F L2,35
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,L2 D2 F' R' U2 B U' F' R2,L' D B D B' F U2 F D B U R2 F U L',L2 U' F2 U F L F D F R' D R D2 L,38
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,B F D' L2 R' F L' B' F,B' U R2 U' B' D U2 L D' L' D' L U2 R' B2,D2 F2 D2 L' D L' D' L2 D2 F U' F D2 U,38
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,B R' U R' B2 U B D U,L2 D2 L' F D R2 D' L' D F2 D U B L2 F',B D' F2 D2 L D L' D F' R F' R' D B',38
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,D2 L2 U B2 U L B' R' B2,L' F L D' B2 F2 D' F D2 U' L' R' B' D R2 U,B' L U' L' B' U B L U L2 B L,37
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,R U' L' D2 B' R U2,D2 B2 L' F L R2 D' L U2 L D' U2 L' F2 D L2,F2 D2 R2 U2 B' U2 R2 D2 F,32
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,B' D' L D2 L D2 U2 L' F2,L2 R U2 R F' L2 F L R' B2 D' R' U L2 F2 L,L2 D F D' L' U L2 B L B' L U' L',38
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,B' L F2 U' B2 U' B' D F',B' R' B2 F2 R' U R' F U' B' L2 R' F L2 F2 R,B' L2 B D2 F' D B D2 F D2 B' D L2,38
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,D' R U2 B U' B' R,R U B' L' F U' F D' U B D2 B2 D L F' L,L2 U2 B D B D R2 F2 D F' D B U2 B,37
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,D L2 F' D R B' F2 D2,U' B' U2 R' B2 L2 F2 U B2 R F' D U' B2,L U' B D' R D' F' D2 B' D F2 U L D',36
R2 F2 D' B2 U L' U D' R2 F' R' D2 F2 L D2 U' L R' U B',x2,R' F R' F2 L2 D R' U B2,U R U' L R' F2 U' B2 F2 L' F R D2 R',F2 D' B D U2 F' D' U' F2 U' B' D R2 F2,37
U' D R' B2 U2 L U2 L D B' F' L2 R' D B2 D' R' U2 D2 F D',x2,B L' F R' D' F2 D' B,U B L F' U' F2 U2 B U2 R B' F L' R F',L2 U2 B D B D R2 F2 D F' D B U2 B,37
D2 R2 U2 L' B D2 B' F L' D' B2 R U L2 U' F2 L2 R D2 F L' U B L',x2,B R B2 F D2 L B D2,B2 U L D F D L' R' U' F' D' F2 R' F D,D2 R' B' L B L2 D2 R F R' D2 L R D2,37
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,F' D' R' F U F D F' L,D2 F U2 F R F' D' F L D B2 L2 D R2 B2 L',F' U' L B' F U2 B F' L U F,36
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,F2 U F' D' B' L2 F' R' F2,B D' L' D' B L' F' U B' U L2 D' U' L' R' D',D L' U L' U2 F2 U L U L2 D' U' L',38
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,R2 F D2 F U2 B' U' F D2,B2 D' R2 U2 R F' U' B' R B' F L B2 R2 D R2,L2 B D U' F2 R' F2 R F2 D U F D2 B',39
L' B' R D' U F L' U L2 U' F' B2 D2 L' D' U B2 R2 L2 B L,x2,B' F2 R' D2 L' B2 U B' U,D2 U' F2 U R2 D L2 U2 L' R' F L' R' U2 R2,D2 R2 B2 L' D L' D' L2 B2 R' U' R' D2,37
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,F' L' F L2 D' B D B2,D' B L' B' F U' L B2 D R F' U' B' D' F' L2,L' D2 R F R2 D2 B' D' B D' R F' D2 L,38
L R2 D' U F' R' L2 D' F2 U2 B2 U B' D U' L' B U B' U' L' D2 U2 B U,x2,L' B2 D U' F2 D R' D L F',R D' B R' U B2 U L' D2 B' U' F L2 B' R' U',L' D L D' L B2 R' U R B2 L',37
D' R' F U' B' F' D' B2 D' U R2 D2 L F D B2 L' R F' L2 R2 U F,x2,B2 U2 R' F' L D2 B' U' B,L2 R2 B R D R2 F' L' R U R2 F' L' F',L U' R' B U' L2 D L' F' L2 B2 D' B R',37
U D' R F D L F' B U' L' D' F' D' F' B D' B' F R2 D' B2 U',x2,F U' F' D2 R D2 L' B' F,U B F2 R2 B2 L' D L B R F' D R' D' U',L U' L2 F D' L2 B' U2 B L D F2 L2 U,38
R2 F U L2 U' R U' B U2 B' D L' R2 U2 L B' F2 D' F2 L',x2,F' D2 R' U2 B' L R F' D',D2 U2 F R2 D2 R2 F L2 D2 R' D U' B' D' U,L U L' U' B2 U2 B F U' B' U F' U2 B2,38
