scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,D2 U2 L R B2 U2 B D2,F R2 D L D L' R2 F',R' F2 U L U B2 U2 F2 D2 R,U F D F2 R F2 R' F' D' U',D F' U F' R B2 D L' D' L' B2 R' F2 D',50
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,U' L D U' R2 D B2 L,U F L2 B F D' B' U' F2,B' R2 D R2 B2 R2 D B2 D2 B,R U' R D' L R' B L' U R',R' B D U' L' B L D' U B',47
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,F D R' D2 U F2 L' D',F' R2 D2 R D2 R F,L' D L R' D R B D' B' D',U R' D L' R F' L U',F' R' F R B U2 F' U' F' U F2 U2 B',46
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,F2 L B' D' L B' F L R2,U' R B' D' R2 D B2 R' U,R2 D' R' D2 F2 U2 L B2 U2 F2,L2 F U F U' R B U2 B' R2 F2 L2 R,D L' F2 U F' U' R' F2 L' F R F' L2 D',55
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,R2 D2 B L F' L2 U L',R2 D R U2 B' D U2 R,R' B D R' D2 B' R2 B D B' D',D2 R2 D B D' R' D' R D B' R' D2,U F L' F2 U' F' U F' L F' R' D' R U',53
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,L F D2 L2 D' L R' B2,R' D2 R U L F L' U',B2 R2 B' D R' F D' F' R' B' D',R B2 L B L' D B D' B' D' B R',B D U' L' B' L D' U B' R,49
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,F2 D2 U' L' B U R F2,U2 L U2 L2 U L F U' L,D' U2 L' D2 L U2 B R' B' D,R B' D B R' U' L B' L' U,R' D2 R' D2 L' F' D' F D2 R D' L D' R,51
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,L' R2 B D F' L' U L',D F2 D' U F' L F' U',F' U F' D L D' L U' F2 D2,L' F2 L2 U2 R B2 L U2 R' F2 L2,B U R2 U' R B' D' F' R F2 D' F' D2 R',51
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D2 B U2 B2 D' R2 B' L',B2 D2 F R D2 F' D2 B2,R2 U' B' D U' R B2 R2 B2 R' U2,D2 B' D B D' B R B' R' D2,D B' D' B2 U F R D' F D F2 U' B' R',51
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,R' F' L U' F' D B U' B2,U F' L' F L2 U L2 U2,D' U2 L' D2 L U2 B R' B' D,L' B D R D' U F' U' B' L,R' D L' D R' D2 F' D F L D2 R D2 R,51
