scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,F U2 L2 F2 U B' D F' R',L' B D R' F2 D' B' F L,U2 L2 B2 F U L2 F' L' B D2 B D2 L2 U2,F L' D2 L F' L' F D2 F' L,42
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,F' L2 D' R' B R' D,D' B2 U2 B' R B' D,B' F L' U' F U' B' F' L F' L' B2 L2,B D F' D2 B R2 B' R2 D B' D2 F D2,40
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,F' D U' L2 B' L R' D',B' F2 U' B L D F2 D',R U L' D' L D L U' R' B' L' B' U' B2,L2 F2 L' B2 L F2 L' B2 L',39
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,D B2 D L U L2 D R2,L B' U F2 L U2 F2 L2 B,L2 D' B F' D F D F' L' F L R' F R B',R2 U R' D2 R U' R' D2 R',41
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,F D U B2 L' D' R' B2,R' D2 R' U2 B2 U2 R2,D' R D' F2 L' R B R' F2 D R D B' R2,B R F R' B' R F' R',37
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,F' U R F2 U B' L D2,R' D2 U' B R' B' U R,D F D2 F2 D F2 D B' U' B' U2 B2 L' F',B' L' B R' B' L B R,38
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,B' D R2 B' R' D' R2 B,D2 B2 U' R' B' D B' D,B2 U2 R U2 F2 U2 B' F2 D R D R2 D' B' D,R2 U R' D2 R U' R' D2 R',40
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,F' D B L2 R' B2 D2 U,L B' F' L F2 L B L,B' F' L' F U B2 R2 F R' D' R D F' R2 B',,31
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,U L U2 B D' B' F' R2,B2 U' F R' F' R B2,B2 U B' F R' D R2 B2 U2 B' U' R' F U2 B2 L,R2 U R2 U' B R2 D' R2 D B2 U' B U,44
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,F' D' R' U2 F D2 L' R',D F2 R F2 R' F2 D',B' F' L' D' L' D2 R F' D B2 U B' R D2 B F2,B2 U' B D2 B' U B D2 B,40
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U L2 D2 F R' U2 B D',L' D F' L' D' L2,L2 R' F' D L' F D' L F D L D' L2 R,L B2 L F2 L' B2 L F2 L2,37
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,U F L2 R' D' F U2 B,L' B' L2 U B F L',U B2 L2 F2 R2 B R2 B L F L' B2 F2 L2 U',R2 B2 R' F' R B2 R' F R',39
