scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,U' R B2 U2 B D L2 R,L B2 D R' D' R U' B R' B L',B' R B L B' R D B2 U' B2 R2 D' B L',B' R' U R B L F U' F' L',43
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,L F U2 R2 U' B' L,B R2 B' R' B' R2 D' R2 D R',D2 U R' D F' L' F D' R D2 U',R B2 R' U' R U B2 U' R' B' U B,40
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,U' R2 B2 F' R2 B2 L,D' B2 D' R2 D R D2 R2 D2 B2 D,U2 B' U B L2 F' L2 U2 L U2 F2 U F' L',B L' B2 F2 R B' R' B2 F2 L,42
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,F D' U2 L2 B2 D,R2 D2 R B' D R' D' R B D' R,L' B' L2 F L F' L2 B U2 L U2 L' U2,F U' F' U' F' D' U' L U L D F,42
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,D2 F L' D' F' D',U' R' D2 R D2 B R' D2 B' U,B2 D F2 R2 F D F' R2 B' D2 B' D F2 D',R B D2 L2 R2 F L R' D' F2 D' L R2,43
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,D2 B' F U' R U2 L2,R D2 B2 D2 R',L' D' L D2 F2 D' B F2 U' R2 D2 R2 U B',L B' R' U' R B L F U F' L2,37
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,B F' L2 D2 B2,R2 B' D B2 R B R D' B' R B,L D R' U B U' B' R' U R2 D' L',F' L' B' F U2 B F' L' F,37
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,R B2 F' D' U' L D2 B2,D2 R B' U' R' B2 D2 B U' B U2,U B' L2 F L' F U' F2 L2 B L U',F' D2 R2 U2 B' R2 D2 L2,39
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,D' U L R2 D L' F,B' D R D B2 F' U2 F D2 U2 B,L U2 F2 U R' D R' D' L' R' U2 R' U2,R B2 R' U' R U B2 U' R' B' U B,43
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B' U2 L' D' U B' L2 U',B2 U' L2 R2 F' L2 F' R' B' U' R' F,R F' L2 F R2 F2 L D' L2 D L' F2 R,B2 L2 D' F R' B' F D B L2 B2 U' R2,46
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,D R U2 B' D2 F,B D' R U' B2 R B2 D U B',L2 F' L' B' U F' U' B L F L' U L' U',B' U' B R U B2 U' R' U R B2 R',42
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,B' F D U2 F2 R',L' F2 L D B2 D2 R' D' B2 D',U2 F2 L2 R' F' L' F L' R F2 U2,B' U' B U L2 F U F' U' L2,37
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,R' D2 U L2 F2 R',L2 U2 R2 U2 L2 B D' R2 D',D2 U R U R' D2 B' U' B U2 L F2 L',F' L' B F' D F D' L B' F U' L,40
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,D2 U' B D2 L' U R,D R' B2 R B2 D B2 D2,L' F2 R U' L2 U L' U2 L' R' F2 L',L2 U2 L2 U' B L D L2 D' B' L' U,39
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,F' R B' L2 R D U,B' R2 F' R F L2 R F' L2 B,L2 F L D2 B' U' B D2 U L2 U2 F' U L',U F D2 B R D B' D F2 L U' F,43
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,F' L U2 R2 F',U B2 R' U2 R' B' F' R2 B' U' F,B2 F D F D F' U F2 U' R2 D2 B2 F',U2 R B U R B2 R' B' U' R',39
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,L D' L2 D B D L2,U2 B' U2 B D B' R2 B' R' B2 D',L2 D' L' U' L' U' R B2 L' R' D L U',B2 U B L' U' B2 U B L U' B' U',43
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D U2 R2 B2 L' D2,U R' B L2 B' L2 R' B' R2 F2 U',B' F U2 F' U' F' D R2 U' R2 D' B F',R' U2 R2 D U B2 D' U' R',39
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,R' B D' U' R B' F2,D U L D' L R' D L' R U',U' B' U' B L R' F2 R2 U L' U' R' U,B' D L2 U2 L2 D' R B D B2 D' R',42
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,D2 L' B D R' D2 U2,B' R' D F R D F' D' R2 B R2 B',U' F R' F' U2 B2 L' R2 D R2 B' D B' L,L' D' B2 D L R' B' U2 B R,43
