scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L' R' F' U' L2 U',U L' F R' B' D2 B2 L R2 D',U' F R' U' R' U R U F',L2 F' L2 U2 L' R' F L R' D' B' R2 U2,38
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U' B2 U2 B R' F2 U',U2 B' L R' U2 B' F L' D U,B2 F' L D' L' B2 D' L D F,F2 L2 F R B2 F' L B F U' R' U' F,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F R' F D L' B D2,L U B L' R D' B' U' R',F R2 F U F' R2 F U' F2 U,B2 L' F2 L2 D' U B' L R' U' L2 D B' F',40
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D2 B2 D2 F' L2 U' B,R U2 R U2 R' B U R2 U2 B,U' B F R' F2 D2 B' D' F L' U L',L2 R2 U2 R2 F' L R' B' L' R D F L2 D2,43
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,F U' L' D2 B L2 U',L2 B' U' B' U' L B2 F' U2 R',U2 L B' F2 R B F2 U' L' U,F' D F2 L F L' D R2 B L R B2 R F2,41
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R' U2 B2 D B2 R,R' B' R' B' R2 U R U' R B',B' L F2 L B2 L' B F D B2 D2 F,U' B' U B L R' D' L' D' L' R F2 U,41
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,U L' B2 L' B' L2,F2 D L' B F2 L2 U' L2 D B',L2 U L' F2 L U' L' F2 L' U',L2 U R' B' D2 U2 L B2 F2 R' F R D' R2,40
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B2 R' F2 D2 U B D',R2 D2 U2 R B2 R' D2 R2 U R',L2 F2 R B2 R' F2 L U2 L,L2 R2 U2 L D R2 U' B' D' B' D U L B D2,41
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' R' B' L' R2 F2,F D2 B L R2 B2 R F U' F2,L' U2 L' D' R B2 R' D L2,F U' L' U L D B L B' U' F2 D' U L F',40
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 R2 D2 R B L' D,U' B2 U L2 R' D F L2 B' R',L' U2 R' B' R U2 L' D L2,R B2 R' U L' U2 L2 U2 L2 U2 R' F' R U2 L',41
