scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,F D' R2 F D',L2 D R D' F' L2,B2 L2 R2 D2 L' R F' R B' L' U' B',R U R' U F' L F2 L2 U2 L F U' F',D R2 D' B F' R U2 R' B' F,46
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,D2 L' F D' F2,B D' B R' D B2,F' L R2 D' U' B F' L2 B D L R',D R2 U' B2 L U F' D F L' B2 R D' R,B F' R U2 R' B' F D R2 D',47
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,U' R2 D,B U L2 U L B' L,U' F' R F L F R2 D F R2 D' L' R',D L' R2 U' L U R' U' R' D R U R' D2,U' L R' F2 L' R U',44
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,B' D U2 B2,L' R' D2 L' D2 F2,U2 B2 D' L' F D' B2 U2 F U R' F,R' B2 F2 D' L R U' L F2 U' B2 R' B2 D,L F L' F2 L2 B F D F' D' B' L2 F,49
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,U2 R2 U B2,D' U' R B R' D L,D' L2 D' R' F' L F2 D F' L' B' D2 L',U F D' R2 F' L' F R2 U L D F2 U',U L R' F2 L' R U,44
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,F R2 D L2,R' B2 D B' D2 B' R,B L2 U' F' U L2 B' R' B' R D' B,F U' L' B L' F' L2 U' F' D2 F D2 U B',L F L' F2 L2 B F D F' D' B' L2 F,50
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,F2 R D L2 F',L' D' F' D' L R D2,F' D L D' B R B D2 R F2 L' D U2 F',U2 B2 U2 F U2 F' U2 R' F R B2 U2,B F' U' F' U B' F R' F R,48
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,D' U' B F2,B D2 F' D2 L' B' L2,U' R' B' D R2 D' R D L2 B F' D2 U',L2 B R F' R F2 D2 R B R B L2 U2 B,B F' R U2 R' B' F D R2 D',48
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,B2 F R' U',L R' F L2 R D F D',F2 U R' B' F R' F2 R' F' D2 R D2 B U,B' R B' R2 F2 D R' F2 D R D' F2 D' R B2,B F' U' F' U B' F R' F R,51
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,F2 L' R2 B,F' U' L B' U2 R B L,R2 U R' U B2 D' B R B' L B D' B U2,U R2 B F' L' D2 L B F D' B2 R2 U' L2,B F' U' F' U B' F R' F R,50
