scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,L' F' D' R B' L2,L F L' U L' R2 F' L,R' U2 B D' B' D B' U2 R D',B' U2 R D R' U' R D R' U' B,B D F' D2 B R2 B' R2 D B' D2 F D2,48
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,D U F2 L B L2,R' U' R B2 D' B2,L D2 B L2 U L' U' L' D2 L',L B' R F D F' D R2 B R D' B2 D L',L2 B' U2 F U' F' L2 F' L2 F U' L2 B,49
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,F' R' U B D,R' F' U' F U2 R U2,D' R2 F' L' R' U2 R' F' L F2 D,R' F' R U' L B' L' U R' F L R B L',B D F' D2 B R2 B' R2 D B' D2 F D2,50
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,F' R B2 U' B F',F' R' F U2,R B2 F' R' F' R B2 F' R' F2,B2 L2 D' F U F' D F U' L F' L B2,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,46
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,U L' R B D' F',B' F R' B F' U2,F L' F2 L' R' B2 R B2 L2 F,L R D' L' R' U2 B' D' B D2 U2 L D' B L',,37
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,R' B F L' B,B U' B D2 B2 U,R2 D F R2 D' F' L' R2 F L,B D' L2 D' F' R' B D R D B' F2 L F',B D F' D2 B R2 B' R2 D B' D2 F D2,48
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,U B D' U2 F,R' U2 R' B2 D2 B2 R2,D' F2 D L D R' B R D' L' F2,B2 L' B L B L2 B2 L2 R D2 R' B' L' B,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,50
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,B2 D' F D' B' R,U B2 F' L' F D2 B' U B',L2 R2 B2 U' L2 R2 D' F2,D' F D B2 L' R' F L2 U2 L' F' R D' F' D2,B D F' D2 B R2 B' R2 D B' D2 F D2,51
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,R U' L R' B F2,U L2 B U B' L2 U',D' B' D2 F2 D B D2 F2,B D' F2 D' B U2 F2 D' B2 D2 B D B' U2 B,,36
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,L2 D F2 U2 R' B,B L2 U' L2 U B',R F' D' R' F R F2 D R' F,F L2 B U2 L2 F' D' L D' B' L' F' R' F' R' F2,,38
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L' F2 R2 D',R B' D R' B2 U2 B',B' D2 B L' D' F2 D F2 L,D' F L' F' L' B2 L' D2 L' D L B' D' L',L2 B' U2 F U' F' L2 F' L2 F U' L2 B,47
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,L2 R U' L' B R2,B D2 R' B R D2 U2 B' U,F R2 F' L2 U' L2 D R2 D' R2,L D' F R D B D2 B' D R' F' D L',,38
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,F2 L' F D' L,F R2 B L' B' F' U',L B2 L F2 L2 D' R2 B2 R2,R D2 F L' F' L' R' B U' L U L,B D F' D2 B R2 B' R2 D B' D2 F D2,46
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,D' L D2 U2 F' R2,B U2 B' L2 U L2,F D2 B' F U L2 D' U' B F2,D2 L D R' B2 U' L B2 L' U R D' L' D',,36
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,F R' F D F,D' F' D F' R2 F' U F',D2 L' R2 F2 U' R2 F' L D F,L2 U L' B' L B' L' B2 L U' B' L2,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,48
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,D U F' U2 B F2,U' F' R' U2 R U2 F,F' L' F' R2 U F' L R' F R' F2,L2 B' L2 R D' L2 B R2 F' U2 F L2 R,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,50
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,B' D' F' L2 F2 D2,R2 D2 B2 U' B2 R2 D2,L R2 B U' B2 U R2 B L2 F2 L,B U R2 D R2 U' B' D' B2 D F' D' B D F,B D F' D2 B R2 B' R2 D B' D2 F D2,52
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,B2 U' R' B L' F2,B2 D' B' U B',L' U L' B U L' D' L U2 B' L2,D' F' L B2 L' D L2 D' F U B2 U B D U2,B D F' D2 B R2 B' R2 D B' D2 F D2,50
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D2 U' F' L D B',U' L2 U' L2 B U B',L2 R' U L' B D2 B2 R B L' F2,D' L R F' R F R2 B' L' D L R' B L' R,,39
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D B' F R' D F2,L U2 B U2 B' L' U,D2 R' D2 F' L2 B' L2 F' D2 F2 R,L' B L' D U F' L F L' D' L2 B' U F' L F,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,53
R B L2 D U F2 U' R F2 B R' U B D2 U' B2 U' D B' U2 B' L D2 U' L2,x2,B R2 U' B D2 F',U2 R B' R' B2 U2 B',D' R2 D2 L2 B' U2 L' D' L' D' F',D' L' B2 D' L2 F' D B2 F L2 B D L' D,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,51
R L2 B' F2 L' R' B' R D R U L' D F L2 D' L F B' R2 L' B L' F2 U',x2,L' R B F2,B2 F' L' B2 R2 F U',U' B' R' D' R' D R2 D2 B R' U,L R' B' D2 R B' R' B D2 B L' R,,34
D2 U R L D2 B2 R' U' R2 F' L2 F' L' R F2 U' R2 D B' D,x2,R2 F' D L' B' L2,F2 D U2 F' R F' D' U,L2 U' L2 D2 L B2 L' R2 D' R2 D',U2 B2 L2 U2 L' U B L' B2 R B' D R' U2,B D F' D2 B R2 B' R2 D B' D2 F D2,52
F L' F' U' D L' R' D' F2 U R2 B' F U F2 U' L' D' L' F L' D L,x2,L' R' D B' R2 D,U2 F' R B L F U B' U',F R2 F2 R2 F D B' D B D2,R' F L' U R' F2 R U' F2 U F2 L F' R,B D F' D2 B R2 B' R2 D B' D2 F D2,52
U' R' D' L2 R' B2 R' L F' B' U D2 L2 D F L F2 R B2 F' R' B2 U' R' L2,x2,R' U' L2 B2 U2 L,B F L F' U B' U',L2 U' F R F' R2 U' R2 U2 L2,L2 B' L' D' B' U R D' R' D' U' L' D',B D F' D2 B R2 B' R2 D B' D2 F D2,49
R D R2 L2 F2 R2 D' R' D' R' B2 F L' D B2 R' D L2 F2 R' U2 B,x2,B' D U2 L' F,U F R B L' B' F',L2 U F R' F2 R F' U' F2 L2,B' D B D' L B F' R' B R B F L' D',,36
U R U F B' D2 L' D' L2 B F2 L2 R2 U' L B D' R2 D2 L2 F' D U2 R,x2,F2 D2 B' R' D F,B2 F L2 B R B F' U2,D F2 D2 L B D2 B D2 L' D F2,L B L2 B' R2 F' U2 F' L' U L2 U' R' F2 R',,40
F D2 B D' U F D B2 L' B' D U2 B' U' R2 B' D R F' U2 D B D2 R',x2,F U2 F L2 F2,B U2 F L' B' R F' U,L2 U' B2 U' L2 F' D' R' F' R' F2,R F' L2 R2 U R' U R U' R' U' L2 R' F R',,39
R' B D' U B2 L' D U' F R U' L2 D F' B D U F' L2 D F B2 D' F,x2,D' U' B L B F',B2 D2 B' U2 B' U,D2 F2 L B' L' D L B2 L' F2 D2,L D' L B2 F2 R2 U R2 B R' B2 R F2 L2 D2,B D F' D2 B R2 B' R2 D B' D2 F D2,51
D R' B F R B2 L2 D' B2 D2 U' B2 U R D' B2 L F' R D' L2 D' R' L' F',x2,L2 U2 L' U' B L2,U2 B2 L B' U L' B',R F R' F2 D2 F D2 F' D' F2 D',D F' R2 D' B D R B2 R D' B2 D B F D2,B D F' D2 B R2 B' R2 D B' D2 F D2,52
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,D2 B' U' F L' D',R F' R2 U F R,R2 F2 L' F2 U2 R F L F' R,B D' U B' F2 D' B D B F2 D B' U',,35
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,L2 B L B L R2,L F2 L U' L2 U2 R',D2 F2 R' F2 D2 L' U2 F L F',B F' U R U' B' L B' U R' U' B' L' F,B D F' D2 B R2 B' R2 D B' D2 F D2,50
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,U' B2 L' B2 D R2,U' R' D U2 R D' R,R2 U2 L2 D2 B L2 D2 U2 F,D' L2 B' D' R D F R2 B U2 L2 B R D',,36
