scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,R D L R2 D2 B' R' D F',R' D' F L' F' R2 D L' D' L R',L U' L F R2 D L' R2 F' L' F' U F,,33
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,D R2 D' F R D2 U',F2 R D L' D U2 F2 L B U B' D2 B2,D' B' U B2 F2 D' F L2 B' F D U2,R2 B U' B2 D B2 U B D' B2 U R2 U',45
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,D' R U' L2 B2 L2 F' R2 D',F L B L2 F L B' U' L' U' F2,F' D2 B2 F' L B2 D2 F U L U R U2 L',R2 B U' B2 D B2 U B D' B2 U R2 U',47
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,R U' B L' D2 B' R' D',R U' R2 D2 F U' F2 U' B2 L' D2 B2 F,U' B' L U L R' F' L2 R B U,,32
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,R' D2 R' B U' L' B,D2 L' B D L2 R' F U2 L F R2 D' L2 D2,B L' B R2 D F' R F R B2 L U,U R2 U' B2 D B' U' B2 D' B2 U B' R2,46
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,B' L U2 L2 D B' L2 D',L2 D' L2 D F2 R' F2 R' D2 L2 D R2 F2,B2 L2 F U F' U L2 D' B D B2 R2 D2 R2,,35
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,F R F2 U' F' D2 B2 R,L2 D' U' F' L2 R U L2 F R' U L2,F' D' L' F2 L' B F' D B' F' L D F,R2 B U' B2 D B2 U B D' B2 U R2 U',46
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,B2 D2 B D2 U L,U' R2 D L' D' R2 U R U B2 R' F2 U',F' U2 R' U' R D' R D R B' R' U' B' F,R2 B U' B2 D B2 U B D' B2 U R2 U',46
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,D' L' R' B' F R' U',L2 R' U' F2 U L2 D2 F2 L' D F' R F',B U L R2 F' L' F' R2 U R B' R F R2,,34
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,D L' U R D' L' D2 F,U2 F2 D' U2 L' D F2 R2 B2 L R2 U L',R' U' B' R U R B' R U' L F U2 R2 U2 L' B',U R2 U' B2 D B' U' B2 D' B2 U B' R2,50
B2 R2 B2 L2 U B R2 D2 L2 B R' F2 R F' L R' U' F' D F B L2 U2 R' F',x2,D' F R U' L' F' U2 B',D B2 L U' L' R' B' R2 D' B U' B2 R,F2 U2 R B L' R D' R' B2 U2 L R',R2 B U' B2 D B2 U B D' B2 U R2 U',46
B' D' U2 L R' U R F B' R2 B R' F' R2 F D F L D2 F,x2,B2 R D2 R2 U' F' L R',F L2 F' R U2 B L B R2 D2 R U' F2 U',L' D F2 D' L R' B D2 B' R,,32
R2 B D' R2 F' D' B' D' U R L2 D R' B' R' F R2 D2 L2 B,x2,F2 L' B2 R' B' F' D' B,U' F L2 F2 L2 U2 R F U2 F' R' U' F,B L F2 D2 L2 U2 B2 R2 U2 L B',U R2 U' B2 D B' U' B2 D' B2 U B' R2,45
R F D' U F' D R' L2 D2 L' F2 D F2 L' B' F2 L' D2 R D' U2 L2 F',x2,B2 F2 U' L D2 B2 L2 B,B2 D2 U' B' R D B D U L' F2 L B2,U L F' U' L2 U' R' D R' B' R2 U L,U R2 U' B2 D B' U' B2 D' B2 U B' R2,47
D B R' U2 L2 B2 U2 D R' D' U R' U D' L' F' L2 R D2 B' R,x2,D' R' F2 L' R' B2 F L,B' F2 D' U L' D B U2 L' U' L F2 U',U' B' U' L B2 U B' U R2 F R2 B' L' B,U R2 U' B2 D B' U' B2 D' B2 U B' R2,48
B2 L' U2 L2 B' L R' F B U2 D L' B2 U' R' D' F' U' B2 R,x2,D R B2 L D' B2 L U,B' U' B U' B' R2 F' U' R2 F U R2 B,B U' F' D U' R U R D' U B' F',R2 B U' B2 D B2 U B D' B2 U R2 U',46
L' U' R2 D U' L D F2 B2 R2 B' U B U' L' R D' L2 U' R2 D U',x2,F R2 U F2 L B U L',B R' D U2 B R' B U2 R' D' B2 R U2 B,U' L' B2 R D B L B2 R' B',R2 B U' B2 D B2 U B D' B2 U R2 U',45
F2 U D' F2 U R D R' L' D' F' D R2 B2 D2 F2 B R' D R B' R F' B2,x2,L' B L' D B2 L2 D B',D2 F2 L U' R2 D' R2 D2 B2 F2 R B2 U,F2 D B' F L2 B2 F2 R F2 R' B' F D,U R2 U' B2 D B' U' B2 D' B2 U B' R2,47
L2 R2 D' L B2 R' D' F2 R2 B2 U2 R F U F2 L F2 U2 B U R D2 F',x2,L' B' U' B R F' L2 B,L' U L' D' B2 L' D2 U' R' D' F2 L F L2,B U L2 R D' R2 B2 L2 R U' R F2 R' B',R2 B U' B2 D B2 U B D' B2 U R2 U',49
D F2 B' R U R D' B' D R' F' R2 F2 R' D U' R2 F L U2,x2,U' F L B' D2 L F2,D U F2 L' U' B2 D2 B2 L' U F2 D' U2,R U' L U B2 R2 F2 R U L B L2 B' L2 U2,,35
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L F' R' B2 F' D' R B',R2 B D R2 U R2 D' R' B' R' B' U B,U' R D2 B' L2 R2 F U2 L' F2 L' R U',R2 B U' B2 D B2 U B D' B2 U R2 U',47
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D2 B L2 R2 D' L U L,L U2 B2 F R' D' F' R B2 L2 U' L,U' L U' R' U2 L' R' D' R' D R' B2 U,R2 B U' B2 D B2 U B D' B2 U R2 U',46
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,U2 F L2 D' B2 F2 R' D2,L' B2 D2 R' F2 U B' R' F' D2 B' U F',L' B R2 F2 R2 B' D L B D2 B' D',,33
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,R' D B F R2 D L B,F L2 R' D' L' R' D L2 R D L F' R,B L D2 L' U L2 R D' R2 B2 L2 R U' B',R2 B U' B2 D B2 U B D' B2 U R2 U',48
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,B' U R2 D' L B' L2,F2 R2 D L' D' R F R B2 U F2 U' B2,B2 D2 L' B L R' U' R D2 B2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,43
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,B' D L F2 D2 F U',L F' L' B2 U' R D U2 R D' B' R2 B',D2 R2 U L' D' L R2 B D U2 B2 F R2 F' D,,35
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,B2 L' U' L2 B' F' D2 F',L F R2 D' L2 R D F2 L' D' R' D2 R2,R' D2 F R F U' R' B D2 B R U' L' D2 U2,,36
