scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L2 B U',L D' F2 U2 F L' B F,R2 D2 R' B' D' B' R' B' D B,L B F U' R' U2 R U2 R U' F' U2 B' L',35
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U2 B D U',U' R' B' R2 F2 R' U,L R D U F L' R D' L2 D U B' F,L R2 B U F' U F2 U2 B' R' F R' F2 L',38
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U' F D' L',B' U' B' L D L' U B,L2 D' L U' B2 D2 B2 U R' B L R2 B' R',R2 F' U' F U2 B' U F' U' B F U2 R2,39
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F2 U' L' B D R,R F2 R2 F U2 R,D U R' U R F2 D2 F' R' B R' B2 F' D',R' B' D L R B' R' U B2 U B' L' D' R,40
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F' L U2 R',U' L D L' U B,B2 D B R' D B F2 U' L2 F2 D' B' D' R,R' F R B' F' R F D R D' F' R' B,37
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U' F' L',F R' B U' F' U B2,F' R U2 F' L2 D' B' R B' R B2 D' L2,B2 L2 F U2 R' B' R U2 L2 F' D2 B D2 B,37
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,B U' B' R2,F U2 R B2 U' R2 F',U' L U F2 D B' R' B D' L D2 L2 R,R' B' D L R B' R' U B2 U B' L' D' R,38
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R' F' D' F',F2 D' R D B2 U B2 F2,D2 U' R B' R D L' D' R' B' F2 R' B' L,U2 F' U B D F2 R2 U F2 L2 U2 F U' B,40
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,R' F L' B D R,R' B' F' L U2 R D L',R' B2 F' U' R' F2 D L2 U2 F' R2 D B U' L2,R D2 L2 U2 F' R U' R' U' L2 D2 R' B',42
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F2 R D' F',B2 F2 U' B D2 F2 L2 D2,D' L2 R2 F' D L' F2 R B' L' R2 B2 D2 R' U',L U2 L' B' L F' L2 D' B' L' F' R' D' F2 L2,42
