scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D B2 L2 R2 F' L' F L2 D2 L,D B2 L' B2 D' R' F D F' R,L B L2 F D' U B2 U B D U2 B' F' L',,34
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L F2 U' F2 D' U2 B F2 D2 U,R2 D' R2 D F D' F',B2 F U' R2 B F' U2 L D2 L D2 B,,29
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F2 U' L' F D' L U' B F' R',R' D2 F' D F D R,F2 R' D' R F' U' L R B' L' U R' F',L2 F D' R2 D F' L2 F D' R2 D F',42
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,F' L' F' U R2 B' R D2 L2 F,F' R' D B2 U B' R' B' F R,F U F' L F U2 L U2 L U L2 U F',,33
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,B' R2 B' D' R' U2 B' F2 U' L',R U F R F' R' U',U2 R' B' U' B2 D F' D' B2 U L B R U2,F D' R2 D F' L2 F D' R2 D F' L2,43
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,B L2 U' L R' D F L D,F D' B' U2 B2 F2 U' F R2 B' L2,F L' R' F L F R' B' L' B R F' R F',F D' R2 D F' L2 F D' R2 D F' L2,46
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L2 F2 L2 B U R F' U' L',R' B2 U' B' R' B' R2 U' R' U,F2 U L2 R' D2 L D' R2 B2 L U' L' U2 R',F D' R2 D F' L2 F D' R2 D F' L2,45
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,F D F2 L B' U2 B2 U B D R2,F D F' D' R' D R,U' L2 B F U2 B' L B' L' F' U' L' B L' B2,F D' R2 D F' L2 F D' R2 D F' L2,45
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B U' L B' D2 U2 B D B2 D2,D' U' F U2 F D U R' U2 R2,D2 L' D2 B F2 R' F' D' U B' U' B' D U F',F D' R2 D F' L2 F D' R2 D F' L2,47
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,U2 R' B2 F' R2 D2 U B R D',R2 D' R' F2 R2 F2 R2 D R,R2 B' F2 L U' F D' U F' D2 B D' R' D2 R' F',F D' R2 D F' L2 F D' R2 D F' L2,47
