scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 R D2 U' R F' D2 R' B' R' F' B' L2 U' L U F2 B L B2 R F' R2,x2,B D F L' D2,B' L B U' F R' U' R U B L',D2 L U2 R F' R U2 L' B' L R' B2 R,L F L' D' F' L2 F D F' D' L2 D,41
U' B D2 L' U' L B' F D R L F' L B2 F2 R' F2 D' L U D2,x2,U2 R2 U' L U',B2 F' U2 B' U B' U' B2 U F,B D' L2 D2 L2 B2 U R2 B U F U2,U' L F' L' D' U B L B' D,37
D2 F2 U2 D' R D2 R2 B2 U2 F B2 D2 B R B F2 U B L2 U D',x2,B' F' R' B2 R,R2 U L2 D F D2 B' F D L,U2 F' R U2 B U' L2 U2 B' U R' U2,F' D' F L' D2 B' U B' R' U' B2 D',39
F2 B L' F2 U' B L' D2 F D' B2 U' D R2 U' L' F L B' D L2 D' U2 F' L,x2,R' F U2 L' U',R2 F2 R2 B' D' R2 D B' U F2 L,L' U2 R' F R D2 U2 B' D2 L,U R2 B U2 F D' U L' D U B' R2 U',39
D' U' B F' R' L2 U2 D' R' B D2 L R2 F L F' L2 B2 L U2 L F' R D' L2,x2,F' R B D' F2,U B' L2 D L D' U L2 U2 B' U,B L B' U' F L2 F L F L2 F2 L2 U,D U' R F R2 F' D' F' R' F2 R U,41
U2 D L2 R F' L' R' B R' D' B2 L D F L D B2 U D' B F',x2,R U' F U2 R',L U2 B' F2 R2 F' R D L' R,U2 F2 U F U2 B' R2 B U' B2 D' B2,R D B F2 R' B F' U B2 F' D' R',39
U' B R B' U2 F L2 U2 B' R2 F2 U' L2 U' F' R L U' D2 F' B' L,x2,F' D F' U2,U2 B' U2 B2 D' R2 D U B' U2,U' L F U L' D' L2 D U' L' F U,D2 F' L R' D2 L' R F' D2,35
L D2 L D2 B2 L U D2 F2 D2 F2 U' B' U' F' D U' R' U' B U' L2 U' L,x2,B2 R' U' R2,D2 U R D2 B L U' B2 L' U',D2 B' U2 R B' D B U2 B L B2 L' D,B2 U R2 D2 B' D2 R2 D' U' L' D B2,39
R2 F B L F B2 R2 F2 D R' B2 F D2 F2 B2 U2 D' R' D2 L R U2 L' R2 D2,x2,L F L D2,D2 L2 F' U2 L B' R2 F2 L' B F,L B L B' U L' D' L U' B' L2 D,U F L' U' F' U2 F L U' F' U2 F,39
R D F2 R B' L' U' D R2 B F' L2 B2 F D' F2 R2 U2 R B F2 D2 R L D2,x2,L' U' L R2,U R' D R B2 U2 B' F' U B2 L,B U2 F' U F' U F' L2 F' U2 B' F2 U2,R2 D U2 R D' U F' U R2,37
