scramble,orientation,step_0,step_1,step_2,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,D L' R2 B D U' R' D' L2,B2 F2 L B2 R' U2 R U' B U' F2 U' B' U,D' L2 U2 B U2 L2 D2 F D',32
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R D' B' D2 F U' B D2 U,B L' B' F2 L' R2 U2 L U2 B' R' F2 R' B,F R' D B F' R' U F' R U' B' F R D',37
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,F D' F D2 F' R' U2 B U' L',B' U' L B' L' D' U R2 D R2 B R2 F' U F,D U' B' D2 B D' U R' D2 R,35
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,R' B2 U2 L2 R2 D' L U' F' D,R U' B2 U' L' U2 R U B2 R F2 U L2 D U2,F R' D B F' R' U F' R U' B' F R D',39
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R B D2 L D2 B F2 U' L' R',B2 L' B2 U' R U' F' R' F2 U R2 F' R' U F,D F D' F2 D2 B F R F' R' B' D2 F,38
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,R D' F' L F2 L F2 U' L' D,R D' B' L' B' D' U' L2 U' R2 D L' D R U2 L',D' L2 U2 B U2 L2 D2 F D',35
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R2 D2 R' B2 D' F2 L2 F' L,U2 L2 B F' D' F2 D' U R' F' D2 F L2 R' F D2,D F' D2 L2 U2 B' U2 L2 D,34
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F R D B2 U' F' R2 B2 D,U2 R' D' F' U' B' L B2 U' B' L F' D F' L' F',F R' D B F' R' U F' R U' B' F R D',39
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D2 B2 D F' D B2 L R B,U' B' D' F U' R2 B' R2 B U F' R D' R' D2 B,D' U B R2 B' D U' L B2 L',35
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,B' L' B2 F' D' U2 B' R' F,F U2 F U B F R U2 B L' U B' R' B' F2 U,D' L2 U2 B U2 L2 D2 F D',34
