scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U2 F' R2 D B' U R D',R B2 U' F' U2 B' R2 D' B' L D2 R,D' L B R2 B' L' F' D' F2 D2 F D F',U B' U2 F R2 D2 B D2 F' R2 B U,45
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,F D2 L2 R D' B' R,D2 L F L2 F D2 L D F' D',B D2 R' B F' L2 B' U' F U2 R D2 B',B2 R2 D2 L' F L' F' L2 D2 R' B' R' B2,43
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,L D2 B L' U R2 U2 R',D U L D F' D F D U',B2 U2 B' D2 U B L B' D2 R' U' R U' B',R2 B U' B2 D B2 U B D' B2 U R2 U',44
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U L D2 F D' U B D2,R2 F2 L B2 L F U' F R' B2,D2 U' L' U2 L B U L U' B' F U F' D2,U' R B' R' U' B U R B R2 U R,44
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F U' L B D' B L B2,B' L2 B2 F R' B' D F2 D2 F,D' F' D R' F R' B F' U2 B' R F R' F',F2 L' U' R U R2 F2 L D L' F2 L R F2,46
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D' F' D2 R' F' L2 U2 L2,L' B2 R' F U B' D2 F2 R2 B' D2,F' L D' F2 R U' R U R2 F2 L D L2 F,,33
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' U' L R2 B R B2 R2,F L B R' F' D2 B F' R B2 F,B2 D L' U R B2 R' U2 R B' L R' D' U2 B2,R B R' B' F' U2 B2 U B' U' B' U2 F,47
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 L B' F2 D' B R' B,B L2 B' D' L U' L' F U2 F2 D,L2 D2 U2 L' D2 R' B2 L D' B' D B' R U2 L2,R2 B U' B2 D B2 U B D' B2 U R2 U',47
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B L2 U2 F' U' B2 U,R' B2 U' F' U L2 B2 F R,L U2 F2 L D U L2 B' F2 U' B' D R' U' B2,R B' R' B L' B2 R B' R' B2 L,42
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,F U2 B' D' B' R' D2 U',B2 U B' F R' D B2 F2 U' B F,D2 L2 D' B2 R' F' U2 B2 F D2 L' F2 D' L' D2,U B' U2 F R2 D2 B D2 F' R2 B U,46
