scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,U R F' R U',F' R2 D' R B' D R B2 L' B' F,L2 R' U L2 R' F2 L D' F' L F' R2 B2 U',D R B' D' U R2 D U' B' R' D',41
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,R' B F2 L',B2 R2 U B D' R D' B' D' U R2,U' F2 R2 B' U L' B' U2 L' U2 L' B2 R2 U,F' D' F D B R2 F' R' F' R F2 R2 B',42
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,D' L2 R D' F2,D2 U' L' U2 R B2 D' L2 B' R' B' D2,R B' L U L' D' R2 D L U' B' L' R',B2 L' F' D' F L B R D R' B,41
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,U F' U2 R2,U2 B F' D B2 D2 R2 D F D B' U2,R' F2 L' F' L' F2 R' F L' D L D R2 B,B F L F2 D2 F2 L B' F' L2,40
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D' U' B2 F U' R',D' U' F D2 L' B L2 F R2 B2 D L2,B2 D2 B' L2 B' D' R' B L2 R' F L2 F' R2,F2 U B' F R2 B F' U F2,41
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,B F' U F' R F2 L2,R D2 R' B2 L' D2 L D' U' B D' U',L' R2 F L' F' L2 R' D' R' B2 R D R',F' D' F D B R2 F' R' F' R F2 R2 B',45
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B2 L2 D2 L' U' R',L' B U' B' F R U' L U2 F2 L2 F,U' L2 U B L U B2 U' L' B' U' L U,L2 F' D R' F D' L2 R2 U B' R U' B R2,45
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,R' F' L2 D' B,B' D F' L F D2 F' L2 B R F,R2 F L2 F2 D' R' U2 L F2 L B2 U B U2 L2,B2 L' F' D' F L B R D R' B,42
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D' L' R U R2 F,D2 L F2 U L' B' D2 F2 L F2,L2 B D' U2 R2 F2 D2 U' R2 B U' B L B' L2,F2 U B' F R2 B F' U F2,40
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,L R U B2 R2,U' F' L' F2 R F U' B' F2 U' B' U2,D' F' U2 R' U2 R2 F' L2 U' B L U' B F2 R2 B,F2 U B' F R2 B F' U F2,42
