scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B D2 L U2 L F' U L',F D' F D,U' R U2 F U' R B' F2 D' F2 D' B F',D F D B D2 F D' B' D U L2 U' F2,38
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F L2 D L F2 D2 U,R B F2 U' B' F',F2 U B2 U' L' R B2 F L' F R' U' B2,L' R U' L2 D R' F2 R D' L' U2 R',38
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L' B2 L' D R U',F2 U' F R' F U F,R D2 F R2 B2 F' U2 F2 U' L' U' B2 R',D R U R2 B' D B2 U B2 D' B U' R D',40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L2 R U' L U2 R' D2,F' U' R F R U,B2 R F2 D B2 U R D' F' U' B2 D F2,D L' U B' U2 R' U2 B U' L D' F',38
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L' U2 B F U R U2 B,F D' U' F D F2 U,R2 B U2 B' R2 U' R U' R U2,U' F' U F2 L2 D U2 R' D B R D2 U2 L2,39
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' F2 D F' D2 U',L F' L' B' D B' L' B2,U L2 B' D B' F L' B' F' D' B' L2 U',D2 U2 R' B' D' R D' U2 L2 F2 U' F U L2,41
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L R2 D' U2 F' L2 U,L F' L2 B' U' B L,D B L B L' D R2 F R D' F2 D' R' B',B L R U' L U' L' U2 L U' L2 R' B',41
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L2 D' U L U' B' L2 D',U' F R2 F U F,U B' L2 B D' R B R' B' D' F' R' D2 U',D2 B D2 R2 F2 U F' D2 F U' F2 D2 R2 B',42
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L R B2 D2 B U L,F' U2 F' R U F U2,U' F U' B2 F D' B2 F' R' B F' U L2 B',U' F2 U B F2 L' F2 L U' L' F2 L U B',42
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L' B F2 R B2 F' U',U R2 F R U' R U',D' F2 R' F2 D2 R F D F2 R F R,L2 R2 U R2 D R2 B2 U2 B' U' B' U' R2 D' L2,41
