scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L' B2 D' B D,B2 L' R2 U' R' B D2 B2 F' L' R',D' F D2 F2 D2 F' R D F' D' F2 R',F2 D2 F' R B2 R' F D2 L U2 L' F2,40
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U F L' D' B2,F' D' F2 U' F2 D2 F L2 U,R F2 L2 R2 B L' B R D' L' D,F L D' B2 U R' U' B2 D2 L' D' F',37
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,D' R' U' R' D' B',L2 R D F L D' R' U L U2,F2 L2 R B' U' B L2 F' R' D F',F2 U2 F' D U' F2 U2 L' U2 L F2 D' U' F',41
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U L2 F' D' B2 D2,U' L2 U R2 D L R2 U' B' U B,D L F' R' B F L' F' R D F D,F2 L U2 L' B' F2 R' D B' R2 B D' R B,43
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U' B U L' D2 R,L B' R2 U' B' D2 F' D' B2 U,L' B F U B2 L' B U' F' D2 L B',B' F' L2 F U2 B2 D' B U' B U' B D,41
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R' D' B2 L B2 F' D2,L U F2 U2 F' U F' R2 D R2,F2 L' F' L2 B D B' R' D L' R,B R2 F L' F2 L F U F L F' U' R2 B',42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,L2 D B U F2 D2,U2 L' F' U F2 U2 L' U F U2,D L' F2 L2 D R2 B2 L' R2 D',B2 U R' F L D L D' F' R F L2 F' U' B2,41
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,L2 D2 B D' U2 F',L R' F' L' F' R B' U B2 L B',R D' F D' R' D L2 R' B' U L2 R,F D' B U2 B' L' U' L' U' F' D2 R2 B' D' F2,44
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,R U' R2 B' U F,B2 F' R2 D' F' L U2 F D2 R U,L' R' U2 L' U R B2 L2 R F' R',B R2 U' R U' B' L2 B' U2 R2 F' D' R' D' B',43
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U B2 U B',B2 D F' R B' L B' F U2,F D F D L' R2 U' L R2 D2 F' D,D2 F D R' D2 L R U2 L' D F' D2 L U2 L' F',41
