scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,L' F' U2 B L' U',F' R' F L' R2 D2 L U' R' B2 R',U' B' R' D R2 D' B U F' R2 F R',R F' D F R' D' L D' B' D2 R D' L' R',43
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,U F2 L D' U L2,L F' L2 D' R' F L2 U L2 B L,U' F2 U' B D' R B2 R' D B' U F2 U,R F2 R F R2 D2 L B L' D2 R F R',43
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,R2 B2 F' D' F U2,L2 D R' B' U2 L2 F' R D' U L' D' L,B2 L2 F L2 B D2 F2 D' F' D' B F',F' D F R D' L D' R2 B' R2 D2 R' D' L',45
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L2 R2 D F2 L' D' U',F2 D' B L' D2 L B2 F L B F U2,U L D2 F U R2 F' D B U2 B D L U',R F2 R F R2 D2 L B L' D2 R F R',46
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,U L B' R B2 D' F2,F U2 B R F R2 F D F U L2,R2 F' L' D' L' U' L D U L F R2,U B2 U' R F2 R' U B2 U' R F2 R',42
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,B2 L B2 R2 D2 U2,B2 R F L2 F' R' U B2 F R' B' F',D2 L2 U' B R U R B U' B2 R' U L2 D2,R F2 R F R2 D2 L B L' D2 R F R',45
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D' U2 R B2 F U' R',B' R D2 B D B2 R D R2 B2,D2 U' B U' F U2 F R F' U2 F' U B' D2 U,R F2 R' U B2 U' R F2 R' U B2 U',44
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D' F2 L R D F' U',R' F D2 R' D' F U' L D' B' F2 R,U B F2 L2 U F R U R' U' B' U2 F U',F R' U2 F' U' R2 D2 B' D' B D' R2 U' R F',48
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,B' U' R2 B D' L2 F2 U',L2 D F2 D' L2 D L' B F2 D2 L R,B' U F L D L D' U B' U' L2 F' U' B,B2 L' B' L U' L U L2 B2 R D R' B' L B2,49
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,U L D2 F' R2 U2 B',D2 B2 D2 L2 D' F' R2 F' U2 F2 L2,D' L' R2 U F U2 L2 R2 D' B' L2 R2 U L R2,B2 L' B' L U' L U L2 B2 R D R' B' L B2,48
