scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' D' B L R F D2 R2,D2 F R2 F' R2 D2 F',R U' B R2 F' U2 L U2 B' F2 D2 F' U R',R2 B' F' R' B2 U2 B2 R' B F,39
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,B2 D' L B U B2 F' R,D2 U' R' D' U2 R2 U' F D',B' D B R F U2 F' U2 F2 R2 U R2 F R',B2 D' B' F L2 B F' D' B2,40
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,U2 F2 L U B D B2 L2,F' U' F2 U' L' F2 U2 L' U L2 U2,B2 F' L' B2 R' F2 R' D R' D' R2 F2 R F,L F L' F2 L2 B F D F' D' B' L2 F,46
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,F2 L' B' F R B2 R2 D,B L B' F U' F2 U F,R D' F' R' D' R2 U F U F' U2 R' D F R',B2 D B' F L2 B F' D B2,40
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,L' D' R' B2 D2 R' B' U,L2 B U' R' D2 R U2 B' U' L2,R2 F2 R2 U' R U' L' B2 R2 D2 R' B F2 R2 B,U2 F D' U L' U L D U' F' U,44
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,L2 F2 R' B F U' F2,D2 R B2 R' D2 L U2 L',U R' B U' F2 L' F2 L F L' U B' U R2 U2,F2 R B L U' L' B' R' F' U F',41
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,B' F R D2 B2 R B',L U R2 D' L R2 U' B2 F' L',L B' L' R' D L2 F R U F U' L' U2 L' B,D' B' L' D' U B2 D U' L' B D,43
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,L' D2 B F2 D' R' U2,D' B L F' L B F L' B2 D,B2 L' D' L D L' B' L F2 U' F L2 U B' F,L2 F' D R' F D' L2 R2 U B' R U' B R2,46
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,D2 L' R' U' L' F' R D2 B,D R U R F U' R2 D',L2 B2 U2 L' F2 L2 U R B' L U' R D2 F2 R2,L F L' F2 L2 B F D F' D' B' L2 F,45
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F L2 D' F D2 U L' D',U2 L' U' R2 F2 R2 U L U2,U' R' B L2 B D' F' L' D' L2 B2 F U R2 U,L2 F' D R' F D' L2 R2 U B' R U' B R2,46
