scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,F U B D R2 B R' B',F D L' D2 U2 F' D2 B' U2 B2 D B' D2,U2 L2 U' R2 U L2 U' R2 U',B D2 B' D U' L D2 L' F2 D' U L2,42
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D2 U L R' U B' U F2 D',R2 D2 L R' D2 F2 D2 L F' R' U2 F2 L2,U' L' D2 L2 U R' B' D' B' D R D2,R F' U' B' U B F R2 B2 R' B R B R,48
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R B' D2 B' U' B2 L' U,D2 L' F D2 R U2 F2 U F2 U' R' F',U' L2 R F L2 B' U L F' L' B R' U,F L' B F' D F D' B' F L F2,44
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B D' F' R' U' L' B2 F',R2 U' F' L2 U' B' L' U L2 F U' R' F' R',L U' L' D' U2 R U R' D U2,F' L D' L' D' U B D B' L' D U' F2,45
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U B F L' D2 B2 F' D2,F' D R2 D2 B2 U R2 B2 D2 R' U R' B2,D B' U' F2 R F' R' U' R U F' U B D',U L F D' B' F' L2 B F D L' F' U' F2,49
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,L D2 F' L2 U L' B' U,U F2 R D' L' R2 B2 L2 B2 D F R2 B2 R,D2 L' B U' F' U L' B' U' F U L D2,F2 L' B F' D F2 D' B' F L,45
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,R2 F2 R D' F' R2,D F2 L2 F L U B U2 F' D U L2 B2,U2 R F2 R' U2 B U' L D2 L' U B',F' L D' L' D' U B D B' L' D U' F2,44
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D U L2 B L R' B,F' R2 U' B R' D' U' L' D F R2 B R F,U2 R2 D' U' B R B' R' U' B' D U2 R2 U2,L2 D U' F2 R F2 R' D' U F L2 F',47
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D R' B2 R' B2 F' L D',R' U B' R2 B2 D2 U L D2 B' F U2 B',U' L U2 F2 U' B' R2 B' D R D2 R B2,R2 B L' R D2 L R' B R2,43
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D2 U' L D R D B,F2 R2 F' R B2 D2 L2 U F2 U L' B' D2 U2,D2 U2 R F2 L R2 D' R D' L' F2 D2 U2,D' B' L' B D U' L' F L U,44
