scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,B2 U' L R U',R B F2 D L' D' B' U F2 R',L' U' L' B' U' B U2 L F' L F,B2 L' U' B' U L B' D' U' B U B' D,D B D' F' D B' D' F,47
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,B L2 D' U R' D F2,B F' R F2 D' B' L F',U B2 U2 B' F' L' B F U B2,R2 U2 F2 R' D' B' D B R D F2 U2 R2,D' F' D F' D' F U' L2 U2 L2 F D F' U,52
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,R D B' U' F' R B2,R' U2 R' U2 R' B2 D R2,B U B L2 F U F' L2 U' B2,B2 U' B' R2 D' U2 L U' L' D U2 R2 U B',R2 U R2 U' B R2 D' R2 D B2 U' B U,52
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R2 B D2 F L' B,R2 U' B2 D2 U2 R' U' B R',L' D L U' L' D' L' U L2,D2 B2 F L F' R2 D R2 F L' B2 F' D2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,51
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,F' L D2 R' B,B' R2 D2 R' B2 D2 B,B' D2 L2 D2 F L' F' L' B D2,B2 U' L2 R' U2 L2 R U L B2 L' B2,F U2 B L2 U L F' L2 F L' U' F' L2 B',48
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D L B' L2 D' R',B' R B' F' U2 R' B2 U' F,L F2 U' B2 U B2 F2 L',D2 R' F' R' B2 F' U' L2 B' U' B' F2 D,R F' R B R' U2 R2 U2 R U2 B' R F,49
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D' B D2 F L' B,B F L' F' D B' R2 B' R2,B2 L B L2 B' L B2,B2 U' L' R U' B2 U' B2 U2 L U' R' U B2,B R2 B' R' B R' U F' L' U' L F U' B',50
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,U' L' D B' R' U2,L' B2 F D' L' F' L B2 L,B' U' L' B L' U L' D L2 D' L',B' U' R' U B' R U B2 R' B' R2 B' R',F U' L' F' L2 D2 R' B' R D2 L' F U F',53
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' B2 D2 F U' R2,L' D B2 F D' B' F' L B',R2 D' L2 R2 D' L R B L R' D,F' R' D' U' L D' F2 D L' D U R F,F' R D R D' F D2 B' L' D' B D' F2 R2 F2,54
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U R F U' B' U2 L,U B D' L' F' L B' U',B' U' L2 U2 L2 U B L2 U' L2,B' U' B' R' U R B U B2 U' B' U B',R' D R F R2 B2 F' U B' R' U B U B2 D',53
