scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,L2 F L' B2 L2 D B2 D2 R' D',R' F U L B U2 F R2 U F2 R,U L' U L U2 B L' B' U B L B',U' L' R B L2 B' L R' U L2,43
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,D' R2 F U F2 D L B F2 R2,L' D U2 B2 F2 D F D B2 F2 D' L,B' U L2 U' B U B' L2 B U',D' L R B' D2 L2 D2 B' L' R' B2 D,44
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L R2 F' L D2 U F' D2 B' R',D2 U' F' D' L F2 R U2 R' D' U L',L B2 F' R U R U' B2 F L' D',B' F R' F2 R B2 F2 L2 B' F U F2 U,46
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' L' B2 L D B' D2 B R2 B',R2 F' D' F R2 B R B F2 U' F2 R' B2,B' U L2 U' B U B' L2 B U',U' L2 B2 R2 D' F2 R2 B2,41
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,U2 B2 D' F' U R B2 R D,D' B D R D R' B' D U' F D' U,L2 B' L' B2 D2 F' R' F D2 B' L',B F' R' B F' U B' F D2 R' B' F D L2,46
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,B' U F2 L' F U2 F2 U B' F' R,D2 L2 F D L2 D2 U' F2 U F,F L2 F D2 B' U2 B D2 F2,F' D R F D2 B U B U' L B2 D,42
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B' L2 U' B D2 F L2 B2 U F,D2 B' L U B2 R2 D R' B2 U' B L',U' L2 U L F2 L U L' F2 L,U' L' R B L2 B' L R' U L2,42
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B2 D U R D L2 F2 U2 B,F U' L2 R B' U' B' L2 R' F U,D' F' D' F2 U B' L2 B U' F' D',R' F' R B2 L2 B' F' U' F U F U2 B',44
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,R' U2 R B' U L' U2 F' R D2 B',L' B U F D R' D2 R U' B R2 B2 D,L D2 B D2 F' R B R2 B2 F L' D2,U' F2 U' B F' L F2 L B' F,46
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,B2 L D' F2 U2 L' D B2 U' F2,D B F D' R2 B2 U2 B F' D2 L' F2 D,D2 B' L' F L' B2 U2 F R B' R F2,B' F U2 B2 F2 D F D' B' F L F' L,48
