scramble,orientation,step_0,step_1,step_2,total_moves
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,L' D L B2 F R' B2 U2 F L,F2 L B F2 U2 R B' R2 B' R2 U2 B',D L R' B2 L' R D,29
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,D2 F' L' B L' F D' B2 D2 L,R' U' R B F2 L' D' B L F L F,R D' B R D U' B' D' U B' D R',34
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L2 U' B2 D B L' R2 D U2,L2 B R' D2 L2 F L' F' R F D2 B' L,U B' F2 L B2 F2 R' D2 B' F L2 F' U',35
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D' R U2 R2 U2 F R' D2 U',F D B R' B' R' D R' D' R2 F',F L' R U2 F L' R U' B2 U' L2 R2 D F',34
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U L U2 L F U' B2 L R',B F D2 F' U L U' L' F D' F2 L B' F,L' D B' D2 U2 F D' F D2 U2 B' L,35
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F D2 R' D2 F L' B U B,F2 L F2 R D' U R D B2 R' U,U' B U2 B F' U B2 F2 D' R2 F' U,32
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F' L' B' L2 D' F2 D2 U F' L2,U' L' U L2 R U L U' L R' U' L U,R B' D2 R' D U' B D U B R',34
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,U' B R' U' L' D' L F L U',B2 U2 R2 U' R U2 R U R2 U R2 B2,B' D2 F2 L D U' F' R2 F' D U' R U2 B,36
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,D2 R2 B' D R U' L' U' R F',L D2 B' U2 B U' B' U B D2 L' B2 R' B2,B2 U' B F' L B2 L' D2 B' F L2 U,36
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,D' R B D' L F D2 R2 U' B2,B L2 B2 R2 B' R F' L2 F U2 B R B2 L,L D B D' U2 R U2 L' B' R' B' R,36
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,U R B' R2 F' D2 L' R' D2,U' B2 F D B' D' F L2 D' B L2 F2 R2,F2 R' B U' L' D' U B D B' R F2,34
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,L2 B U R' D L' D2 U2 L' F',L B' R' B L' B2 R F2 D' F2 U' R' U B2,F L' R U2 L' R U' L2 R2 D F,35
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,U F' D U' F' L' F2 U B',U R2 B R' B2 F U2 F' L2 B L2 R' U',L' R2 B' U' B D U' L' D' U2 B L R2,35
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,L' F L' F U R' B D' B2 R2 D2,L2 B D2 B D F2 D F D2 B' L D2 B' L2,D' R B' D R' D U' B D2 U B R' D,38
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U R2 B F2 U' B' L2 D' U',U' R' F2 L' F2 R' U' L U R2 U' L' U2,B' D' L2 U2 B' D2 R2 U2 F' D' B,33
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,F L U F2 L2 D B D' B2 D',R2 U2 R2 B' F' U F2 R2 B' D F' U2 R2 B2,B' L B F' D L2 D L R' B' L R D2 F,38
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,F' U B2 D2 U2 R B2 F L U2,L F L' B L2 F L' B' F2 L2 F L,F2 U L U' B U2 L U2 F R2 F R D B',36
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,D2 U2 F2 L F R U L' D2,B' R2 B U2 R2 B' R U2 R U R U R,D' L B2 L' R D' B U F R' F' U' B',35
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,U2 B D U' L U R' U B' U',R2 F' U2 L B L B2 L' B' U2 F R2,F' L' R' F' U2 L2 D2 B' L2 F' L R' D F',36
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,U R2 D F2 D2 L D' B' F U' B2,B U' R2 U R' F U' B' U B' R' B F' R,U B R B' F D' B F' R B' F D' F' U',39
