scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,B F2 D B' D R B,U L2 D B2 R2 B2 R2 D R D2 U F L,B U2 L2 D F D U2 R F' R F D2,F U' F' U' F U' B L F L' B' F' U2,45
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B' D F2 D R' U L',F L D2 F R2 F' U' R' U B' D2 U2,U B D' F L' F2 L' U2 L2 D B' F U' R2,D2 B D2 R2 U2 F' D2 L D2 F2 U2 R',45
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 B D' L F D L',B2 F U F' L2 U' B2 F U' F' L2 U' L',U B D' F L' F2 L' U2 L2 D B' F U' R2,R' F2 R D' U F' L2 F D U',44
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D2 F' D U2 L2 B R' U2 F',U B' R2 U' F' U R' F2 U2 F2 D2 B R',L R' B L2 F D F D' L2 B' R U' L',F L U L R' F' L2 R F',44
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' R2 B' U' F2 U2 R' B,B' L' D L2 F2 L2 U L' D' U B2 L2 B',B U2 L2 D F D U2 R F' R F D2,L' R' B2 F D' B' F L B' F2 L R,45
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U2 F2 D2 L2 D R B F2,D2 L U L2 R2 B' U L R' B' D2,B U' B D L2 U2 F' D F' U' R2 D2,F L U' L R' F L2 R F',40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L F' U' F D2 F U,R2 D F' L R' U' L' D' U' L R' F2 L2,U R2 D' F U' R' B2 D2 B R' B R D,U L' D2 B2 R2 B2 D2 L F' U' R' F2 R F,47
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,F2 D' R2 U' R F' D F2,L2 U R' B F L' B2 U B F2 L2 U' R,R' B L2 R F' R2 D2 L2 R B' R U2,L F' U' B F' L B R' D R B2 F2 L' U',47
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 B' R D R2 D' L2 U,B' D F2 L2 F L' D2 B' U' B2 R2 D' R' D2,R B L' F L B' L2 F' D' L' D L2 R',D' U F' L2 F D U' R' F2 R,45
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B' R B2 D' B' D2 L' B2,U F' D2 U R' D' F2 D B2 R B R2 D2,B' D R D' U F' U' B,U' L' U' L' D U R2 D2 B' D2 R2 U' F D' U2,44
