scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,F' U F' R F,F L2 B2 U B2 D' L2 F',U2 B2 D2 R D2 B2 U2,D' B' U' B' U B' D' F' R2 F D2 B',B' L2 B2 L R D L' D' R' B2 L B L,45
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,B F D U2,U' B L' B L2 U B,B' U B L2 D F2 D' L2,U2 F2 D F2 U F2 R2 U' R2 F2 D' B' U B,B' L2 B2 L R D L' D' R' B2 L B L,46
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,F D,U L2 R F D' U F D2 F2,F' D' L2 D F L2 D F D',B D' B2 D U' B U L2 U2 B U' B' U2 L2,,34
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,L2 B' R' F U',D' U2 L2 U F L' B2 D2 L' U,U2 R U' R' U' F2 L' F U F,B' D B2 D' R2 D R' B R2 B' R B2 D' B,B' L2 B2 L R D L' D' R' B2 L B L,52
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,F2 L' R2 U',L' B F2 L F2 R' B' L B2,D F2 U F U' F D',B F L' B2 U B2 D L2 D' L B' F' L2,B' L2 B2 L R D L' D' R' B2 L B L,46
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,R D U2 L' F,D2 R' F D U F' D2 B D' L B',L' B D L F L' D F' D2 B',B' R' F2 U' L' U2 L F2 R2 D R D' R2 B,B' L2 B2 L R D L' D' R' B2 L B L,53
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,F2 L F D R U,U' L2 U F2 R' F' D F' R' B,B' R U2 B U' B' U2 R' B,U2 B2 D2 F2 R' D R2 B' D2 F2 L' D' B' L2 U',,40
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,L F' R F2 D U,L2 R B' L' F' D' B' D2 U' F,B' L2 D2 F' U' F D2 L2 B,L2 F' L2 D F U2 F U F D' F L2 F2 U F',,40
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,B R2 D' R U,F R2 D' L' U2 R2 F' R' B' D2 L,D' L2 D2 R' F' R F D2 L2 D,D2 B R F' R2 B R B' D2 L F' L' B' F L2,B' L2 B2 L R D L' D' R' B2 L B L,54
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,L B2 D U2,B2 D L B L2 R D' R' D',L' B D F' D R F R' D2 B' L,B L' F2 L' B' U2 F L2 U2 L R2 F L F' R2 F2,,40
D' R' F U' B' F' D' B2 D' U R2 D2 L F D B2 L' R F' L2 R2 U F,x2,F L2 U' F,F U' L U' L' B F R' F2,F' R U B2 L B2 U' L' R' F,F' R2 B' D B2 D' B R2 F R B2 R',B' L2 B2 L R D L' D' R' B2 L B L,48
R2 B F U R' U' L R U2 B' R U2 R' L' U R U' D2 B F' L' B2 F U' R,x2,D2 B' L' D,D' B L' B2 L D2 B' D L D2,D' L' D L' D2 B R2 B' D L2 D,U' L U L' R U B U' B' R',,35
U D' R F D L F' B U' L' D' F' D' F' B D' B' F R2 D' B2 U',x2,F' D' L' F R,U B2 F2 R2 F2 U' B L,U' F' R' U L' U' R F U,B' U2 L2 B L' F' L B' F L2 U B' U B2,,36
R2 F U L2 U' R U' B U2 B' D L' R2 U2 L B' F2 D' F2 L',x2,D2 R2,F L2 F' R' D' B' D B2 D2 L,D F' R' D' L2 F2 L2 D F R D',U2 B' F2 L2 R B' R D2 R2 B L2 F2 U2 B,,37
U' R F2 R2 B F2 D' U' F2 U B D' B2 L' D2 L' F' R2 D' L D' F,x2,D B2 L' F',U' B D B F L2 D' U B R',D' B' L' B' D2 R2 D2 B2 L D,R2 D2 L' D L F L' F' D R2,B' L2 B2 L R D L' D' R' B2 L B L,47
D' R' L' U2 D2 L2 R2 B' F' U2 B2 F' L D' B' U L R2 F L D2 L2 D F R,x2,B D F' D,F' D U B' D2 U F R' B' R2,L2 U L2 F' L2 F U',L2 U2 B L2 B' U L2 U' B' U B L2 U L2,,35
L2 F' B U' D R U F R2 L D' B D' U2 F' U' R2 U' R' B F',x2,B L' R2 F',L2 D2 U B U' B L B2 R2 D2,L F L2 F L' F' L' F' L',B' U' B R2 B F' U R2 U' R2 U F U B',,37
F2 B2 R F2 B2 D' B L U' R D2 L2 U2 D L2 R2 B' L2 D' L2 B',x2,F D2 R' F' D',L' U2 B F U R' B' R2 F' U2 B2,U B2 D' R2 D B U' B,U' L2 B L2 B' D U R' F2 D2 L' D2 R F2 D',,39
B L U L2 U R2 F' L2 R' U' R D B R' B' U B F2 R2 U' R',x2,B2 L D2 B' U2,D R2 B L2 D R2 D' B' U' L U,D2 F R' F' R2 F R' F' D2,L' U L2 B' U F2 R2 F' R2 B U F' L2 U' L',,40
F L B' U2 L B R F' B2 U F2 R B L' U F2 B' D2 B U' D F' L' F2,x2,R2 D L2 D2,F2 R2 U L F2 R' D' B L' B2 L2,F' L2 U F' L' F2 U' F' L' F,D L2 U2 F U' F' U' L2 D2 U2 B' U' B D U2,,40
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,R' U2 L F R2,F' R' U2 B R' U R2 F L2,L2 B D F2 D F' D' F2 D' B',F' R U B' U L' B L U' B U' R2 F R,,38
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,U2 F D R2,B2 L' F' D2 F2 D F' R' B,L2 F2 U L' F U' F L D' L2 D,L' F2 U2 L2 F' L2 U2 F' U2 F2 L2 F U2 L,,38
