scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D2 B U L D2 B' U,B2 U2 B2 L' D' R' D B U2 L' B2,B2 F R' U' F' U' B2 D2 L' F2 D2,D' F' U2 F' U' F2 D B' R2 B,D' L2 B U' L2 U L2 U B U' B2 D L2,52
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,B2 R' D2 R' F2 R' F',L2 B2 U L2 B' U' L2 B2 U' L2,L B' F U' F2 U' B F' L F2,B2 F2 U' F2 D R2 F' U F D' B2,D' L2 B U' L2 U L2 U B U' B2 D L2,51
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R' D2 R2 D' B' F' U2,F2 R' U' L' F L' U L R F2,U L F' U2 L2 U' L2 U' L' U2 F,L B R B2 U2 B2 R' D2 F2 D2 B' L',D' L2 B U' L2 U L2 U B U' B2 D L2,53
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D R B2 U' L D2 F2,F U L2 F2 U2 L2 F2 U F L',B U L' U' L B' F R' F' R,F2 R B' D B2 L' B2 D' B R' F U' F,D' L2 B U' L2 U L2 U B U' B2 D L2,53
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F2 D' L2 F2 D U R B,F2 L B' L' F2 D2 R' D B2 D B,L' B F' D L' D' B' F L U,L B R B2 U2 B2 R' D2 F2 D2 B' L',R2 D B2 U' B D B2 U B2 D' B R2 D',54
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,F2 R U2 L2 B F2 D' U,L2 B' D U' L2 U F D' B U2 B2,F' U L2 U' B' U' R' F2 R B L F,D R U' L U2 L' R U2 L U L' U2 R2 D',R2 D B2 U' B D B2 U B2 D' B R2 D',58
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 B' F2 U L' R U2,B' F' D F U R' F' D' B F,R' D' U F2 L2 F' D F' U' R F2,L F' U' F D2 U L' R U L U' R' D2 L',D' L2 B U' L2 U L2 U B U' B2 D L2,55
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D2 B2 U B2 D' R' F R2,R U2 F2 D R' D' F2 U' L' R',L2 B L B2 R U R' B L U,B2 F' D U' R' F R' F' R U' R D' U2 B2 F,,43
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,B L2 F2 D2 R F' U,L' B' D2 R U' R2 U R2 D2 B,L' D2 B' U' B L U L' D2 U' L,L U L2 U' B' U' B2 R' F2 D L' F2 L R B',,43
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F' U' F' R2 F2 L2 B' F',R B2 D2 L' B U B U2 R F2 R2,B2 L F2 L' F L F L' B2,R2 F2 R D B D' R' F U2 R' F R' D2 B' D2,D' L2 B U' L2 U L2 U B U' B2 D L2,56
