scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,F D2 L2 B2 U' F' U',R F2 L R' B U' R' B2 F L2 R,F' U2 F D' R U' R' D F' U' F U',U2 B2 R B D' B' D R' B' D' B2 D U2,43
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,L' U L D2 R B',B' U2 L' D' B2 D2 L U R' B' R,L' R' B L B' L' R' U' L U L R2,D' U2 B R' B R B2 D2 L' D' L U2,41
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L U F2 D2 R2,L' B D B' U' B' L' D B U L,D B2 D' B2 D2 B L B' L' B D' B' D2,F' L U2 B' L' B F R2 B' R' B2 R',41
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,D2 F' D2 L' F' U,U2 B L2 F2 D L2 D B2 D' R2,U' B F' L' R B2 L B' R' F U' B2 U2,U B' L2 D' B' U B D U' B L2 U',41
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D R2 D2 L' B D' R2,D R2 B2 F' R2 B' R' U2 R' B2 F,D B U2 L B L' B2 D' U2 B',B L D2 B L' B' U B2 L B2 D2 L' U',41
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,B D2 F' U2 F L2 B,F2 D R2 B F2 L F L2 F' D' B L2,R2 D2 L' B2 F2 D2 B2 F2 L D2 R2,B2 R B' F2 D R D' R' B' D' B2 F2 R' B2,44
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,U F2 L2 F2 U' L2 F',R' B' U' F' L' B2 L2 F U2 R U,F' R2 D L D' L2 R B L2 B' L R F,U' B' U' L' D' L' B' L D B L2 U2,43
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,L R B D2 R2 B,L F D2 L D F' D U F' L' B',F2 L2 D' F2 R' B' R' B U B U' B U' R2,F D F D L F2 U B U R B U R U,45
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,L' U' L2 B L' R2 B,R' U' L' U2 L2 B' R' F2 R2 D' U,B2 D B' F2 R D2 R' B F2 D' B2,L B' R2 B D' B' F2 U B F U2 F D L',43
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,D' L U R2 D2 R' F,D2 U B' D' L B' D2 U L' D2 L' B2,D2 B' R2 F R' B F' D2 U' R U B' R',F' D L2 D2 R F2 L U L U' F2 L R' F,46
