scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' L' U B U L D F',B U R2 D U' R' B' D' B2 R2 D R2,D' R' D' B2 U B' F R2 B L F' U B2 R,,34
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,L U' L2 B2 D2 L F2 R',L R2 B L2 D R' D2 L' R2 U L2 B2,L' F2 D L' F' L D F2 L D2 L' F' D2 L,L' F L B D2 F' D' F' D F2 D2 B' F',47
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,L U B2 L' F' L' B,B' D B' R' B L2 U' R B U2 B' L2,B' L2 F' L' D2 F' U' F D2 L U F L2 B,,33
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,R' U2 B2 R2 D' F L' F2,D' B' F2 L2 U' F' L2 F' L U2 R B L',F2 L F D F D' F' U' F U L' F' L' F2,,35
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,B2 F U' F2 D2 B' L R,L B' U2 R2 B U' R U' R2 B' L' R D,L F' L2 F2 U L2 U' L' D F' D' L F2 L,L' F L B D2 F' D' F' D F2 D2 B' F',48
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,L2 U' B' L' D U',U' B R' B' R D2 U2 R' D2 U' B' R' D,F D' U' F' U F' L' F2 U L' U' L D,,32
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B L B L D B2 F' L',L' F' R' D2 U' R U F' D' L R,D2 R' B R B R2 U' R U' B' U2 R B' D2,,33
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,D' F D B R D F2,L2 U' F L' R' U' B L' B D' B,D2 F2 D L2 D' L' B R D R' B' L F2 D2,,32
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,L2 D' F2 R2 F R2 D' L',B D' B2 R2 B' R B2 R' D' R' B' R2,L U' L2 F2 L2 B2 R B' R' D' R D B' U L',L' F L B D2 F' D' F' D F2 D2 B' F',48
U D' R F D L F' B U' L' D' F' D' F' B D' B' F R2 D' B2 U',x2,L' D2 U' F' L2 F R U,L2 R' U2 R U2 F2 L F' D2 L R,U2 L F' U' F U2 B' U B U2 L' U2,,31
D' R' L' U2 D2 L2 R2 B' F' U2 B2 F' L D' B' U L R2 F L D2 L2 D F R,x2,L2 U R2 B2 U2 F' R',B2 L2 F L F' U2 L' B' L2 D2 R' F2 D',B D2 R2 D' B U' B U B2 D R2 B',,32
B L U L2 U R2 F' L2 R' U' R D B R' B' U B F2 R2 U' R',x2,B' R B R2 U' B R' F',R B2 R B' D' B R' B' R B2 R2,R2 B' D' B' D B2 L R' B' U' B2 L' B' R',,33
R2 B F U R' U' L R U2 B' R U2 R' L' U R U' D2 B F' L' B2 F U' R,x2,L D' L2 R' B2 F2 U2 L,B' D B2 R' B' R2 B2 D' B R2 D R2,L' R' F' D R2 U F U' R2 F R D L D2,,34
D' R' F U' B' F' D' B2 D' U R2 D2 L F D B2 L' R F' L2 R2 U F,x2,B2 R' F2 D R' F L' R,B R2 D L' D' L R B' D2 B R2 B' D',R' F L F' L2 D2 R F' L2 D2 L F L' D2,,35
R2 F U L2 U' R U' B U2 B' D L' R2 U2 L B' F2 D' F2 L',x2,U B F2 R' B2 F2 D2 L2,B2 L2 U2 L2 D2 L B' U2 L' D2 R,F D F2 D' L2 F D' L2 D L2 U L U' F,L' F L B D2 F' D' F' D F2 D2 B' F',46
U' R F2 R2 B F2 D' U' F2 U B D' B2 L' D2 L' F' R2 D' L D' F,x2,D' L2 F R2 B L' F' R',D2 B' R B2 L' F' L R2 B' L U L' D',B R' D2 F' D' F D R F R' D2 R B',L' F L B D2 F' D' F' D F2 D2 B' F',47
L2 F' B U' D R U F R2 L D' B D' U2 F' U' R2 U' R' B F',x2,L' R' D2 B' D F U2 B2,B2 R D' L' R D' F D' L B2 R D R2,U B2 D' L D' U2 R2 U' B2 D2 U' L B2 U',,35
F L B' U2 L B R F' B2 U F2 R B L' U F2 B' D2 B U' D F' L' F2,x2,L2 F' R' U R2 B2 D' F',U2 R2 B2 D' B D L R2 U L' U,L' F' D U' F D' F2 U2 B L2 B' U' L,L' F L B D2 F' D' F' D F2 D2 B' F',45
F2 B2 R F2 B2 D' B L U' R D2 L2 U2 D L2 R2 B' L2 D' L2 B',x2,B L2 D U2 L' D F R',D' F2 R B2 R F2 L R' B' R2 D2 L' R',L2 U2 F2 U F U' L' B L' B D R' D' B2,L' F L B D2 F' D' F' D F2 D2 B' F',48
