scramble,orientation,step_0,step_1,step_2,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F L B' U R D L2 B F2 D,F D' L2 U' B F' R B2 D' B F' R U F',F' D F2 U' F R2 B U' B' R2 U F2 D',37
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' F L R D' B2 L D U',L B L' D2 U' L2 B2 U B2 U' L D' L' U2,F' D F2 U' F R2 B U' B' R2 U F2 D',36
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U' B2 L2 D2 R' F R B2 U' B,D L R' B L2 D' F2 L R D2 L R' U' L' R',L F L F' L D2 R' B R D2 L,36
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D2 B D L D2 F' U L D R,U' R' U' F' U' R' D2 R U B R D2 U2 B' D,F2 R' F D' R2 B L B' R2 D F' R F2 U,39
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B' L R2 F D L2 D R F2 D,D B D B2 D L B D L' B' D R2 F R U R,B2 F2 D2 F L' F' D2 B2 R' B' R B F2,39
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L2 B' U2 F L U' R2 B2 D R2,R2 B D' U' F R D F U' B2 D F D2 L' B',L F L F' L D2 R' B R D2 L,36
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B' D2 B R' F2 R' F' L D',R' D2 U R' D F' L2 B L B R U' F U2 B2 F,L2 D' L2 D F' L2 U L2 U' F2 D F' D',38
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U' B R D' R B' R2 D L,R D2 U' R D F2 D' F' R' F' U L2 R2 U L' R,U' L U2 L2 D' U' B' U B D L2 U' L',38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D' L' D' R2 B2 F D' L2 D,B' D' F D2 R2 B F U2 L F' U L' U2 L' R2 B,D F D' F2 U L2 U' L2 F D' L2 D L2,38
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,R2 U2 B2 D' F2 R' U2 B,B R D2 L' B' D R' D B2 R F' L2 R' D B2 U,D F D' F2 U L2 U' L2 F D' L2 D L2,37
