scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,D2 F L2 B' D' B L' F' R2,L F' D2 B2 F' U2 F R' U2 B2 F' D2 F',D' B' L F2 L2 D' L2 F2 L' D B,U2 L2 U' R2 U L2 U' R2 U',42
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,R D' B2 D2 B D2 L' R2 D',L D U2 R F L' F L' R D2 L2 R2 D L',B D L' B R F2 R2 B' L R D2 B' D',L2 U2 L D2 L' U2 L D2 L,45
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,U F U2 R F D L2 F L' B2,D' B2 D B2 L F L B' U L' B U' F',D2 U' F' D B D' R' F D2 B' U,B2 R' D F2 D' R B2 R' D F2 D' R,46
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,B2 F2 U2 L U' L' D' R B F',R' D2 F' R U2 F' U2 R' D' F D' L2 R,B' L U2 L U F' L2 F2 R' F R B F2,R2 D2 R U R' D2 R U' R,45
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,R2 F2 D2 B' D2 F D' U' R D2,L B L2 B2 L' R' B' L B U2 R,B' U' B2 R F2 U2 B2 L F2 D2 U B,D2 F D' B2 D F' D' B2 D',42
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,F' L2 B L2 R F' D2 L,B L D L2 D' R F2 D2 F D' F R' B',R2 F R' D2 F' R2 U' R B R2 U R2,D2 F D' B2 D F' D' B2 D',42
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,D' B D2 U2 R' B' F U' B R2,U2 F L' F' L' F' U' L2 R2 D' R2 U2 F' L2,B' U' L B2 U2 B2 L D U L2 D' B,D L U' L' D' L U L',44
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,D' F L2 R F' D' F' U R2 U2,R U B' F U2 F' L' B L' U' R',D2 F D F2 U R' D' L2 R D' U' F' D',L2 B' U2 F U' F' L2 F' L2 F U' L2 B,47
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,B2 F L2 B2 F U' F R',B U' R2 U2 F' D2 B' D2 F D' U' F2 D B',U' B R D B' R D R' D' R' U,R2 F' R2 F D' R2 B R2 B' D2 F D' F',46
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,R D' U' R D B U2 B' U L D',F D2 U F' R2 F' U2 F2 R' D2 B' U' F',F' R D' B D R' U2 L' F' L' F U2 F,R2 F' R2 F D' R2 B R2 B' D2 F D' F',50
