scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,F L U' F2 U2 R B' L U,L D2 B R' B' D F2 D L' F2,F U R F2 R2 F' D R' U B' U' R2 D' F2,U B2 F' R B F' U' B F2 U',U2 F' D' U L2 D U' F' U2,52
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,R B' L D' L2 U R' B2 F,R2 U R2 F' U' R F' R' U F,D2 U2 B U L' B L' B U' B' L2 D2,B L' D' L' R F L2 R' B',,40
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U F2 U' L' U2 R F' R' D',B U2 L B2 F2 U' R D2 U B F2,B2 D2 F2 R' F2 D2 B2 L',L U' F2 U L' R B' U2 B R',D2 R' U' L' B L U R D B' D,49
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U2 B F R D B U R2,R2 U' R U2 R D2 L' B2 D L2 D,F2 D' F' U L' U' F' U' F' L' D F U2,L2 R F L' R' B2 L2 D L2 B2 L',U R B' L' R D2 L R' B' R' U',54
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,B2 F L B2 R2 D2 L U',R' F R2 F R' D' L2 U' L D,L' F U2 L2 U' F' D F' D2 L2 D F U' L,U B2 F' R B F' U' B F2 U',U' L U L2 R2 D' L' D L2 R2,52
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B' U' R2 B' L F' D B R,L' F2 U' B' U2 B U F2 L U2,F' L' U2 F' L' D' B' L B2 L2 B' D F2,L2 R F' L' R U L' R2,U2 F' D' U L2 D U' F' U2,49
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L' U' L2 R' U' R2 B R2 U',U' R F2 R D2 U' L2 D2 U' R2,L F L2 D U2 F D' F' U2 L B' U' B,D' F' D' U L D L D U' F',F D2 R2 U2 B' R2 D2 L2 F2,51
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,B2 D' L U2 L2 R2 F' R' B2,F R' F R2 U R' F' U2 F' U,R F' D2 L' B' L D2 R' F' D' F L D,F' D' R2 U2 F' D2 L2 U2 B' D' F,U' L U L2 R2 D' L' D L2 R2,53
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,B2 L R B' L2 U R B2 F2,F D2 L' B' U' B D2 F' D2 L D2,R B R2 U B' U' B' R2 B' R U R2,B' R B' D' R' B2 L' F' L' F U' L2,L2 F' D R' F D' L2 R2 U B' R U' B R2,58
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R2 B L2 B2 L2 R D B2,U' R' F' R' F' D' F D R2 U,U R' F2 R F2 L F R' F2 R F2 L' F2,D L R2 U' L' R B R D',L2 F' D R' F D' L2 R2 U B' R U' B R2,54
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R' D B D2 B2 D R2 B R U,R2 D' F2 U F2 U L' F' D F R2,U' B2 D F R B U2 F R' B U F2 L2,R' B R2 D2 L2 F L2 D2 R',L2 F' D R' F D' L2 R2 U B' R U' B R2,57
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,B' U B2 L' D' R U B L2,F2 D B2 F' U F U' R B2 D' F2,L F2 R F2 D2 R B D2 F2 R' F' L F,L R' F2 L' R U2,,39
