scramble,orientation,step_0,step_1,step_2,total_moves
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,F U2 B' L2 D' R' D' L F D,D2 U' F2 U' B' U' R' U' R U' B F2 D2 U,U R U' L' R' B2 R2 B R' B' R' B2 L,37
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,B' F2 U' R' U2 R2 F L B D',R2 U' B2 D' R2 F2 L F' L' F' R2 U R2 D,D' U R2 U' B' R2 B R D R B2 R' B,37
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,D' R B2 D' F L' R' D' B,D2 L2 U2 L' U R' B R U2 L2 D' F' D' L,B2 R' B' R' D B R B2 R' D' B R,35
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,L' D R2 D L' B' D B2 U' F',U B' F' U2 R F U F' R' B U' F,R2 U F R2 F' R' U' F D2 B2 D2 F' R',35
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,D' F2 R' B D L F D L R2,U L2 D' U' F L2 D L' F2 U L' U' F' L,F U L F D2 B2 D U2 B' L' B' D L',37
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,F' U' R2 D' R' U' L2 B D,L D' F' U F L F L' D L R F' L2 R',L B' D2 F2 L2 U2 F2 D2 R2 B' L',34
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,U' B2 R D' L R B2 F' R2 F',R2 U' R' B L' D2 B D B R2 D' B' L B2 U,L U' L' D' B2 U B U B' U2 B2 D U,38
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,U2 B F2 U2 F R B L U F2,B2 R' D B2 D U R U2 B U R' D2 L' D L,B R' B D U' L' B L D' U B2,36
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,R U2 R F D2 U' F' L' R' D,L2 F2 R B' U L D2 L' U' B U L2 D' B2 D,R' B' D R B2 R' B' D' R B R B2,37
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D' L2 F' L' U F2 D' U2 L,L' D' B R' D' R B' L2 U' L F2 D2 F' D' L2,R F' U' B' U B F R2 B2 R' B R B R,38
