scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,D L2 R' U2 L F' D',R U B2 L U B' L' R2 U' F' D' U' F,F2 D2 L B' R U R' U' B' R' B2 L' D2 F2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,48
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,D F' U L2 U2 R' B' R,R2 B' L' R' U F D2 R D F2 D2 F U',L2 F' L' F L F' D2 L D F' D F2 L,,34
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,B D2 F2 U F D',B' L2 B2 U R' B' R' B U' R2 B' R',D2 R2 B F' D' U2 R' B R2 B' R D B' F,,32
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,D2 L D' R' D',F2 U L2 U B2 R U' B L2 U' F2 L2,D2 F' R2 B2 L B' R B' R B' L' B F,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,44
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,U F2 L' D L' U2 F L,F2 R' F2 D' R2 D B L' B D L D' L B',D2 F R2 F' D2 B U2 B',,30
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,F2 L B' R' U F' L2 R2,D' R U2 B2 U B2 R' U B2 D L2 B U,R B R2 B' D' B2 U B D B2 U' R2 B' R',F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,49
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,F2 U F R B' F' L',R' U L2 F' L2 D' U' L' D U' F U R,D2 F2 R' B2 U2 F D F L2 D L2 D' L B2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,48
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,R U F2 U' B' F' D' U2,U R' U2 R F' D R2 B' D R U B2 R' D,B2 L' B' L F2 U F2 L B L D2 L2 D' B2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,50
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,B2 F U' R U2 B2 U R',F L' D' L B' D2 B F2 D F R2 U B U',B L2 F U2 F' L B F' D' B' F L U B' U',F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,51
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,R U L2 B2 D2 R B L,B2 D F' D2 L2 D' U' B R B2 R' F2 L2 U2,D' L' F L F R' B U R2 U' R' U2 B' R2 F2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,51
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D' B2 U2 R' B' D2,D L' U2 F2 D' L2 U2 R' U R U',R' U2 F' D2 B L2 F' L R2 F2 L' B L B2,,31
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,F L' R2 D' F D L' R,D L' F2 D' U F2 R' B' R F2 L2 U' L,B' U B U' L F' D B D2 L B' L' D F,,35
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D2 U2 L U' B' F' R2,L U B' D U2 F D' U2 B2 D U' L D',R' D2 R D B R2 F R' B' R F' R2 D R,,34
