scramble,orientation,step_0,step_1,step_2,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,D2 U L' B D2 L' F D',U' B' D F D' B2 U B' U B2 L' B2,D R2 D' U' L' D2 B2 D2 L U,30
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U F2 L F D' R' B D2,D2 F R U R2 U2 R F' D' F' D',U R2 F D R F' U' R D' B' R' D B,32
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,L F' R' B' L2 D2 L2 F2 U',B' F' L2 D2 B L' B2 L F' D2 F2,L2 B' D R' B2 F2 L U F D2 B' R2 F,33
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,L' D R B L2 B L2 D U,L R' U' L2 R D' U2 B2 D U2 L,D2 R D2 B' D U F' L' F' L F2 D' U' B,34
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,U2 B' F' R' B L2 F',B D F' D' U L2 U' L U2 B' U2,L2 U' L' D' U2 R' U R' D U' B2 U' L',31
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,R2 F' D' U2 B' D' R' U,L2 B F' L2 B' U B U' B' F L2,D' R' B' R2 D B R' U R U2 L B L' U,33
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,U2 L' R2 F D2 L U' B2 F2,F U B L' U F U' L U' B' F',D' R D L B2 D' B' R' B D L' D2 R2 D2,34
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,L2 U' L' R2 D' F D2 R F',B' L B' L' B D F D F D2 L2 B,B2 D U F2 U L' U2 B2 U F2 U' B2 D' B2,35
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L2 D2 F2 U' L' B2 F' R B' D',D2 U L F' L2 R2 U' L U' R2 F R D2,F' L' F' L' D R2 U B U B' R2 D' L2 F,37
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,F2 R' D2 B' U' F D' B R',L' R' U' L' R U' L2 D F' U F2 D',D2 U R2 F' R' F U F D' U2 L D' L B L2,36
