scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U2 R F U,L2 D2 B R D2 L' R2 F2 D U F' R B' U',B D R' F' R2 D' R2 D R F D' R B',,31
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B2 F' L' D' U',B' F U B D2 B2 D' B2 D B D2 L' U' B,L' R' D U' L F L' F' L' U L2 D' R,F' D2 B2 D B' D' B' D2 F L B L' B',45
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' B2 F' L D2 B' L2,B' U B F R B R2 U L2 R' U' L2 R2 B',U' R2 F L' B L F' U B' U' L2 B' L' R2 U,F' D2 B2 D B' D' B' D2 F L B L' B',49
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U2 B R',U F L B R2 B2 D B2 L D2 U B2 U',L' B' L' D' B' R' F U2 F' L2 R B L2 D B,F' D2 B2 D B' D' B' D2 F L B L' B',44
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,F' D R2 U2 B,L' R F' D' U2 R D2 R' B' L2 D R U2,L' B' L F L B L2 B U' R' U R B' L F' L2,F' D2 B2 D B' D' B' D2 F L B L' B',47
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R' B' U2 R,D F D' L2 R' U2 B' F2 D' F L2 D' U,L B2 L' D2 U' R2 B L2 B' L2 R2 D2 L U B2,F' D2 B2 D B' D' B' D2 F L B L' B',45
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,L B' U2 B2 U',R2 D B F D U2 B F2 L2 R' B2 D' R2,D' B L D' L' F' R' F L D2 L' R D R' B',,33
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D' B2 R U' L U,U' F' D R2 B F L' D' B2 R' F U' L',U2 L D' U' R F R F' D2 F D2 R2 U' B D B',,35
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U' R F' R2 F2,D' R' B' F2 L R2 F D2 U2 B D B D R2,R' F2 D2 L' R' D' B D B2 R2 F L' F2 U F' U,F' D2 B2 D B' D' B' D2 F L B L' B',48
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R D U2 L B L',L D F2 U L2 D2 B' F' L U' F D F' R',B U' R D2 R' B2 L' B2 U2 R' F U' R2 D2 R' B',F' D2 B2 D B' D' B' D2 F L B L' B',49
