scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U B2 F' L2 D U' L' U2,R B' R2 B R2 U' L' D' L2 D' L' U B' R,L' R' B2 R2 U L' R B2 R2 D2 L2 F',F2 R D' B2 D R' F2 R D' B2 D R',46
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,F' R2 F' D L' B D2,D' R' D2 F' L' B R2 B2 F R B L D,F2 R' D R F D2 B D' F' D B' D2 F2,F D R F' R' D' L D' L' D2 F' D',45
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,B F' U2 R' F2 R2 D' R2,B2 R2 D' L' B2 L' U' L2 F2 R U B' R2 U2,L' U L R' F L R' D L R' B L2 R',F' R' F2 D R' B R' B' R2 D2 F2 D R,48
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,F2 L' B2 D2 B' L' U' F U',U' L D B2 D2 B2 L D2 B D L2 B U,U' F' R' F2 R U F L2 R' D2 L2 R,D B' L2 D2 F' U L2 U' F D2 L2 B D' F,48
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,B2 U F' D' F' L' R2,U' R D L R B2 D' B U R2 B U' R2 U B2,D2 U' R' D R U F D F' D' F' D2,U L2 B L B' L U' L D F D' L',46
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,L U B' L2 U2 B' D' U',L D' F2 L' D B D2 F2 U R' U' L' D F2,L B2 R2 U F2 R2 B2 D L,F' R' F2 D R' B R' B' R2 D2 F2 D R,44
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,D2 R' F2 D L F' D B' U',B' L' B U B2 F U2 B F' U' L F' L2,D2 L R' D' L' R F D2,F' R' F2 D R' B R' B' R2 D2 F2 D R,43
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,B2 D B' F U2 R F2 L,U B F2 U F' R' U2 F' R F' L U' F' L',D2 F' L R' D L' R D2,R D' B2 D R' F2 R D' B2 D R' F2,42
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,L' U R' F L' U' B F2,L' D' F2 L' U2 L2 R' U R' U' R D2 B' R2,R' D' F2 D' L R' B D2 B' L2 R2 F2 L,F' R' F2 D R' B R' B' R2 D2 F2 D R,48
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,F' R' D F2 R F' D',R F' U' L2 R' U2 B R2 D' U' B' U2 R D' U,F U' R' D R U F D F' D' F2,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,47
