scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,B D' L' R' F R' F2 L' D,B' U' R2 U' R D2 R' U2 B D R2 D',U F2 L B2 U2 B2 L U' F2 D R2 D' R2 D2,F D' F D' F' D2 R2 U' B' U R2 F',47
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,R U2 L F D R B2 D L',B2 R' D R F' U L2 U' B F D B R2,U2 B2 L' D2 R F D F' D2 B D' B L,L2 F' D2 B D' F' D2 B' D2 F D' L2 F,48
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,F2 D2 L' D' U2 B R2 U' R',D2 B' F L2 F2 R' B' L2 F D B2,L D2 B U F2 D' L2 D F U' B' F D2 L',,34
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,L' B2 U' R2 B F L U' F' D2,R' B' D F D2 L D' L' B R' F',D' U B' R U B U' B' R' U B D U',L2 F' D2 B D' F' D2 B' D2 F D' L2 F,47
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,D2 L F2 L2 U2 B' R2 U' B D2,B D' U' F' L' B L' R B' F U' B',B' U B' D F' D2 R2 B U' R2 B L2 U' F2,L2 F' D2 B D' F' D2 B' D2 F D' L2 F,49
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,U R2 D R' F D L2 U,D' F' L F D F U2 R U2 F',B2 D' R B2 L2 R' F R U' F2 L' U L',U B' U B' U' B2 L2 F' D' F L2 U',43
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,R D L2 B2 D' L2 D' U',R2 D L F' R U' R' F L' D' R2,F2 L2 U R' F' R2 D2 R' U' R D2 L2 R' F2,R' F R2 D2 B2 D2 F D2 L2 B2 L2 B D2 F2 R',48
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,B2 D B L F D2 F L2 D,L' U2 B2 L D2 F2 R D2 B2 L2,L2 D2 B' D' R' D B' L B' L U L2 B' D2 L2,,34
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,R D2 R D2 U2 F' U L B D2,F2 U R' B' F D2 B' L' B2 F2 U' F2,F R U' L' U F' L' F L R' B' D R D' B,U B' U B' U' B2 L2 F' D' F L2 U',49
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,D R' F2 D' U' B' U' F' D',B2 U2 B' R2 F' L2 B2 R2 F D2 U2,F2 R D B' D B U' L' D' U B R' D' F2,F' L' F2 D2 F2 L D' B D F2 D2 F D' B' D F2,50
