scramble,orientation,step_0,step_1,step_2,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,B2 U2 L2 D L' F2 R2 D2,B' D2 B2 L U2 L F R U' F2 L2 B D R2,B D' B R2 B' L B2 F' U2 B2 F L' D B',36
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,D F' R2 D' B D' F2 R',L R' D2 L R' F R' U' L2 D2 U' L B,B' R F2 U L' U L F U B' R2 B2 U' F,35
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,F2 D' R D2 L2 U2 F',F2 R' D U' R' F D U F2 L' R U2,L2 U' B D' F' D' L' D L F L' D B' U L2,34
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' L' U B D U F',R2 F2 U2 L2 D B F' R' U2 R2 F R B L2,U' F' D' F L U F' D F D2 L D2 F U' F',36
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F2 R2 F' D' B' U B2 D,B F' D' U' F2 L F D L B' U' F' D2 R,D R' B' D B' L D' B R' B R2 D' U' F U,37
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,U' B' D B' U B2 F2 U L',U L2 F2 D L2 U R' B D' R D B2 R' B2,L B L' B2 R F' D L' B L D B' F L2 R' B2,39
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B D B2 L' U2 F R,F' R B2 D2 R U F2 U2 L2 R B' L2 D2 R',B' R F2 R2 F2 R D2 B' R B2 L' B' R' D2 B,36
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,F' R D F' R' F2 L' U2,F2 R' B' R D F U2 L F U R2 B2 R2 U',R U' B2 D' B2 U' B F R2 F' D F' L2 B F R',38
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,B2 L U' B' D U',F L F' L' F' D' L2 R B R2 B L' R,L D L' B2 U2 B' U' B2 U' B2 L B U2 B' D' L',35
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,D' R U F D2 F2,R' U2 B L' R2 B' L B' U F' L F U,F2 D' L F' L F D R' F' R D' L' U L' D F2,35
