scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F L B D R2 U',L D2 L2 R2 B' R' U B' D2 L2 U2 F2,R2 F R' D R' U B' U' R D' F' R',F U F' D2 F U' F' D2,38
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F' R2 B D' F2 D',U' L U F R U2 B2 R F' L' B2,D L' D L' F L' F' L D' L2 D',R F D R U' R2 B R D' R U F' R2,41
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R2 U B D2 L' R,R2 B' D B2 D U2 B' D2 B R' D2 R',D R U L U' L' R' D',D' F D F' D R2 U2 B U R2 D' R2 U R2,40
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,F2 U' B' R2 D' F2,U L2 B L U' B F2 D' R2 B2 F2 U',F L' B2 R' D' R' D B2 L F' U,L' F R2 F' L F R2 F',37
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R2 B D U2 B' D L',D' L2 D L2 B F2 U B F2 D B2,R2 B U2 B' F' L F R2 F2 L' F2,R2 U2 B2 D' B2 D B' D' U B' D B U R2,43
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U2 B2 U L' F U2 L2,F2 U' L' R2 B2 D L U2 R' F2 D2,D2 B' L2 B D L F L' F2 D F,R F' U2 L2 U2 F U' R D' B2 D R' U R',43
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L B2 R2 D2 F2 L' D,D' B L R2 F' L' U' R2 D B2,L D' L D B2 R2 U R2 B2 L' D,F L' B2 L F' L' B2 L,36
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R' B' L2 D B F D2,B' F2 U2 R U' R U' B R2 F2 L,D B2 R' U2 R U B2 D B' U' B D2,R' F2 R' F2 R D' U2 L2 U' L' D F2 U' R,44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' B F2 R U' L2 B,B' R' D2 U' F D' L2 D R' F' D2 R,B2 D B' D' R B R2 B R2 B2 R' B',R2 D' U L2 F' L' F2 U' F' U2 L' D U2 R2,45
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B2 U2 R D2 R2 B,F2 D2 U' L R2 F' U' R2 B' U L' F2,R D F2 D L' D L D L2 D F2 R' D',D' F D F' D R2 U2 B U R2 D' R2 U R2,45
