scramble,orientation,step_0,step_1,step_2,total_moves
L' U' L2 D' B2 D U B2 F D' B R' U2 F2 L D U2 R U2 F U2 F U2,x2,F' R2 D' B' U' L F2 U L,R2 B' U2 B U2 B L' B' D2 R2 B' L2 U2 L',L U L' R B2 L R' U L',32
D' L2 B' D' B' D U' F B' D B' R' B' D2 R' F' L2 R' U R',x2,U L U' F L' R' U2 B2 U',U2 L F' R2 D R2 D2 R' B' F D B D L' U2,L U L' R B2 L R' U L',33
B' U2 L R D2 R D L2 F' R' D' B U' F U2 D2 B' R' U2 B D R' F2,x2,R2 B2 L U' L2 R2 F R' U2 B,L R2 D' L' B' L' D' F D' L R2 B L F' L U2,R B R' B' F' U2 B2 U B' U' B' U2 F,39
L2 U' L' U2 L D2 R U L2 R' U' F2 L B2 D' R B' F2 L B2 U2 L D R,x2,R' B U' L D2 L2 D R2 F U2,B2 D2 U' B' D L' U B2 L U' B2 D2 L D' L U,B' U B U B U B' U' B' U',36
L F R2 B' D F2 R' U2 F2 R B2 F' U L F' D B D' L U D' F' L' B,x2,D L' D2 R' U2 L F2 L2 B R,U L' D' R' D U L' B' L2 F D B' U' R' B D',L U' L' R B2 L R' U' L',35
D L' D' F2 R B L2 F U2 L' D F2 D' R2 D R2 U L B2 U' F D2 U2,x2,R2 D' F' U B' D2 B' D' R U',F2 D2 R2 F' L2 F' D U' R2 D2 R' F2 R' B2 D U,R B R' B' F' U2 B2 U B' U' B' U2 F,39
L R' B F D2 R2 U' L' F U L2 U L B D' L' R2 B U2 F B L2 R',x2,F' U2 L2 D L' R2 D' F D' R',D B' U F2 R' U R' U' R F D F U' B D',,25
D B' R2 U' D2 R' B L2 F' U D B2 F2 R U' L' U L2 R2 D',x2,F U2 R2 F' L' U B2 D R U',L' U' L' B' D' L' F2 D' F L2 B L D' F D U,L U L' R B2 L R' U L',35
R2 U2 B2 F' U' F2 B L' F' R F2 L2 F' B D2 F D2 U2 R2 D' R' F U',x2,R B D L F R B R2 D B2,L D L' F' L2 F D' F' L2 D2 F D' U2 L' D' U2,L U' L' R B2 L R' U' L',35
F' B2 L2 D2 U R U2 R B' F' D2 L U2 B' F2 R' B' D R2 F2 R2 D2 R',x2,F U' L' D B' L R2 F2,D2 B R D' L2 D' B2 L2 D2 L2 D B' L2 B' R' D2,B' L' F' D2 B D B D' B2 D2 B F L,37
L R2 F R B L D B' D' F' L2 D R' U' D B' L F2 U' D B2,x2,L' R U L2 B F L' F' R2 D,L2 B D2 R D' U R' D U' R' D2 R B' L2 R',L' B2 F2 R B' R' B2 F2 L B,35
D2 R' B2 R U B2 U' B2 U2 F L' F U B R L2 F2 R' L' U' D2 L2 D2 R',x2,R' D B' U2 B' R F2 L2 U2 F U2,U2 R' F' R U2 L2 R D2 R' B L B2 L,L U L' R B2 L R' U L',33
