scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' B L2 R2,D R B' R U2 B D',B' U2 B L D' F R U' R F' D L U' L2,R' B2 R2 B F D2 B' F' R',34
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,R' D' U F' D,R' U F' R2 U R' F,R2 F D B2 R' D B' R B' F' R2 U B,B L2 B' L' D F' D2 B2 D2 F L' D' B L,39
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,L2 R D F,L U2 F L' R' D R,U' F R2 B2 R' B D2 R2 D R2 B D R' F',R' U2 R' U L' U' R2 B U' B' U B U L,39
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D' L R,R' D U R2 B' D' U R',L R' F' L' R D R B U2 B' D' L F2 L',L F U2 R B' R' B' U2 F' D L D' L',38
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L D2 U B D' L',L F D2 F' D2 F L',U F' R2 U B' R2 U2 L' U L2 B R' B2 R' F,D2 L2 U' L U L2 B2 L' D' L B2 D2 B L',42
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D' U2 L,B U' B R2 B2 D2 R2,R2 F' U2 B R2 B2 F' U' R' B D2 L U' L2 R2,F' D B' D B L2 B2 D B D' B L2 D' F,39
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R2 D L' B2 D',D' R U2 B' L' D L B',D' R B' U2 F2 L R2 U' L' D' L D' R2 U F2,F L' B D' B2 D L F' L' U' L2 U B' L,42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,L' U B2 R,F' U F2 L2 B L2 F',B U2 F U2 R B L2 R F L2 B D2 R2 F',U2 B' D B L' R2 U' R U R2 F L D' R' U2,40
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,L' U' F' D B',D' R D' U' B D2 U2 B',R' B2 R' U' R F' L U2 B' U2 F L' B2 L R,D' L B L' D L B' D2 B' U B' D2 B U' L',43
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D' L' F U' R2,L' R2 F' L D B' R2,F2 D2 U' B' F' U' F U' R' B U' R' D2 F2 L2,U B D' B' D B2 R B' L B R' B2 L' B' U',42
