scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D F2 L B2 F2,D' R2 F L' R D2 R D' R2,D U' F2 R' D R D' U L2,B' F2 L' B D' L' D' F' D' F L2 F2,F D' R2 D F' L2 F D' R2 D F' L2,47
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,U B2 D B' L2,L F R' B D' U' R' B' F2 D,B' U' B2 R' D' F R2 D B',R' U B2 U' R B2 L' D B2 D' L B2,L2 F D' R2 D F' L2 F D' R2 D F',48
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,R' F L2 B' D,B2 D' L R U' R D F' U',D L2 D L U' F2 U L2 D2,R2 U B' U B' L R' U2 L2 R' B' L B,L2 F D' R2 D F' L2 F D' R2 D F',48
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,D2 B' D B' D,L2 F D2 R U L' B2 D U',D' R D2 B2 U' L U2 B2 D',B U2 B R U' B' D U' B' D' R F R' F',F D' R2 D F' L2 F D' R2 D F' L2,49
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,U2 B U' L' F,F R2 D2 L B' D' B D' F R',D2 R B' U' B R' D' L2 D',L D2 L D2 B D B' D' R U L U' L2 R',F D' R2 D F' L2 F D' R2 D F' L2,50
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D U' F,U2 L' B D' R2 D' L U2,D' R F2 R' U' F2 D U,L' R F2 R' F' R F2 L2 F U2 L' U2 R',F D' R2 D F' L2 F D' R2 D F' L2,44
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,R2 B2 L' F2 U',D' L' D B' D2 U F2 D2 B F,D' F D2 L2 U L D' U',F' R2 B2 U L' B U B' L U' B2 R2 F,F D' R2 D F' L2 F D' R2 D F' L2,48
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,B F L' B' L2,U F2 R' U2 R B' F2 U' R2,D2 U' F' D F D B R' B' U,L2 D B D' L' R F2 L D' R F R2 B' D2 L2,L2 F D' R2 D F' L2 F D' R2 D F',51
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L U F2 L2 F,L U' F2 U2 L D F L2 U',B D B' D2 U' F2 D U,B' R2 F' U' R' D2 F' L' F D F D F R' B,L2 F D' R2 D F' L2 F D' R2 D F',49
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L' R' D2 U F2,L2 F2 U F2 D L' B2 D U',L2 U2 L B2 R B2 L' U2,L D' F D R2 U2 L' U' B' U' B2 L' B2 L R2,L2 F D' R2 D F' L2 F D' R2 D F',49
