scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' F2 U2 R' L B U L2 B2 D R D L' B2 D2 R2 D2 L2 B' R D',x2,B' F2 R U B' F,L D U2 R2 U F D' U,L' R2 D' F' U2 F' U' F2 D L,R' B' L' B' R' B L R B' D B' D' B' R,38
B' D' F' L R2 D' L' D2 B R' D B2 F' D2 B D2 U L' R B D2,x2,D2 L B2 F' R' U' B,U' F' D U F D' L F',D L' R' U' L U F U' F' R D',D' R2 B2 D U R D2 F2 R U2 L D2 U,39
B' L2 R B' L' D' L2 R' F' B' D2 L' R D2 L' F L B R2 B' D B2 U2,x2,B2 F' U R' B D' B2,L2 D2 B2 U R U' B2 D2,D' U' F' D F2 D' F' D F' U,D' R' F' U2 B F U2 L U2 L' B2 R' B R D,40
U R2 U' R' F2 U' B' D' R U2 L' D U L B F2 D R' B L B F' D L2,x2,L' F' D2 B' U' R2,D2 R' B' R' B2 R B2 D' R D',U' B R U2 R' U B' F' U F,L' R F2 U F2 L' R2 D' L' D L2 U' L U R,41
D2 U' B' L' B' U' R' F' U' B2 F2 L' D2 F2 D' F2 L' D U2 R2 D,x2,D' U' B' L2 U' B' U2,D F D' F' L2 F L' F',D2 L F2 L' F2 D R' F U' F' R D,U2 B U F' D U L2 D' U2 B2 U' B U' F,41
F2 R D U R' U' R' B R' L D R' U L' U L' F' B' R' F' U,x2,L' U' F2 L' R' B' U B2,R F L2 B2 F' D2 B2 R',U B L' F' U' F L B' R U R' U2,D2 L F2 L' R' D R D2 R U L2 R' D' L2,42
F' R B D B R' U2 R2 U2 L' R' F' R F L' F B2 R' D R2 U' B',x2,D B R U2 B' L U,L B' D' L2 B L2 D B,D' R' F' R B F2 U' B' F' D R,U' B D' F' U F2 D R2 B' D' F' U' R2 D U2,41
R' U2 D R D' F' R' F R U B D2 F L2 D' F2 R U2 B R F U' B' F,x2,D2 R' B' U2,L2 B U' L' F U2 B' U' L2,F' U2 L F2 D2 R D2 F L' F2,F' U B U2 B2 U B L2 U' B L2 U B' L2 F,38
R2 B R2 L' F' D2 R F B D' R B' U2 L2 D2 U2 B2 F' L' U R' U2,x2,L' D L' U F' D2,F2 D L F2 L' D' F2,B2 R2 D L' D' B2 R2 B U B2 U' B,B2 L U L' U B2 U2 L' B2 L D' R U' R' D,40
D L D' B D2 L2 D F2 U R' F' U' D' L D U' R2 B2 L2 U' B2 U' R' D F,x2,F U' R B' U R B,U' F' L' D' L2 D L U L,R' D2 B L' B' D2 R,B2 U' B U' B R U R' B' U B' U B2 R2 B R2,39
