scramble,orientation,step_0,step_1,step_2,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,B2 U2 R' B2 F' D' L' U2,U R B R B L2 F' R' U2 F D B' L' U',R B' R F2 R' B R F2 R2,31
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F2 R2 D' B U2 B F2 U' R',F2 R2 D2 L2 F U' L2 U' B' L' B D2 B,D2 U L2 D R U' F2 U R' D2 L D' U',35
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,R' U' B2 L' U B' F' D L2,B F' D R B' U2 B F' R' D F D B' L2,D F' U R' D' L2 F L' F' L2 D R D' U',37
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,B D2 R2 B' D L' B' F R,B D2 L U' R F2 R2 D' R U L2 F' D' B',D U' R2 D2 B' L2 D' B D' R2 U' F' D' U2,37
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,F U L2 B' R2 D2 R' B' R,L' U L' B2 F2 D2 B' D B' L' F2 U L2 F',R2 D' L2 B' U B2 U' B' L2 D R2 F',35
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F2 R' U2 R2 B U B2 F U' B',L2 B2 D' R D F D R F R2 B2,R' U L U2 L F' U2 L U2 L' F L' U R,35
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U R' D2 L2 F' U R B L2,L B2 R F D R' B2 F' L' B F2 L B' F',B' U2 F' U R' F' U' F2 U F2 R F U B,37
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L2 U2 L D F2 D F' D2,L2 B2 R2 B2 U F' L U2 L2 B2 F' R2 B2,R B R' B F L B' R B L' B2 R' F',34
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,F2 D' F U' B2 U2 R2 B2,R2 F2 U B F' L' U2 F U' F' U' B' F' R2,R U' B U2 L U2 B' U R' D F D',34
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,U B' U' L' F2 D F D2 U2,B' U' F L R2 F2 U B L' U' F D' U L,U' R U R2 D' F2 D L2 R U2 B' U B U L2,38
