scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,F2 L2 R F' R' U2 L' F,L2 B' L B' R2 F' R2 U2 B2 F L,L' U' L' R2 B D U2 B D L2 R2 U2 F' D2,D F' L' F' L2 D2 R' B' R D2 L' F2 D',46
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,B2 R' F D2 L R2 U2,D F D' F' R' D U2 F' D2 U2 R,R' B2 U2 B U' F2 R F2 U B' U2 B2 R,U' L U2 L2 D' U' B' U B D L2 U' L',44
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F2 D' L2 F' L2 R' U',U F' D2 U' F2 U F2 R U2 R' D2 U2,R D' B2 U' L2 F2 U R D2 L' B2 L2 D2,F2 L' U F U2 F L2 B2 U F2 U' B' L B' L2,47
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,D' U2 B2 R' D' U B D',B2 R' U' F L2 D2 R' F2 L' D R2 U' L',L' F' D2 R' B' D2 B' D2 B' R D2 F,F2 L' U L F R B U' B' R' F,44
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D F L' D' L R' U B',R' U2 R D R2 D F D R U2 R D,L B D' L2 D2 B2 L B2 D2 L' B' L2 D,D U' F' U' F2 R2 D R D' R F' D' U2,46
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L' F2 L' B2 F' D B2 L2,B2 R U' L' U' B2 D2 U L U' R' F2,R' F2 R D' L2 U L U2 L D,U' R2 B2 L2 B' L' B2 R D2 R' B R2 F U,44
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,D U' F U' L' B R D2,R' B' U' F2 U B U' L' U L R,F U2 R B' R D2 R2 U2 F' D L' D' L',R' D R' B D L B L2 D' B' D' R2 D' L D,47
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L2 U' R' B F2 L R,B2 R U2 R2 U' L' U L F2 R U' B2,L D L B L D B' D' U' L2 F' L' U,U2 L' F R' F' R2 U2 B U B' U L R' U2,46
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L B U2 R F U B D,R' D' U2 F U R' D R U R,L' U' F' U F' L2 D2 B D2 B' L2 F2 L,U L' U B L' R' D' L R B2 U' B U' L F',46
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F2 L D2 B R U' L' D2,D2 R2 F2 D B' D R2 D2 B F2 R2,D2 L' U' L D' U' F' U F D' U,D' L' D R2 D B D L2 B' L' D' B' R D' R,45
