scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,U2 B F2,D2 U2 B U2 R' U' R U,D2 L' B F' R' B' F L,U2 B D B' D' B' L' F L2 B L' F' U2,B L2 B' R2 B L2 B' R2,40
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L' D R2 B' U',U' R D' B R2 U R,L' B2 F2 U' B' R' B' F2 L,L' D B' F L2 F' R D F D' R' B D L,L D2 L U' L' D2 L U L2,44
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F U L F2 L,F D2 R2 B R' F' D B' R',B2 U' F2 R' B' R' B' D' F2 L2,B U' F L' F' L U B2 L' R F' L R' B,F U2 F' D' F U2 F' D,46
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,D' L U F L',U L2 U B D' B' U2,D' F' D' R2 D R2 F,L F D2 U' R' F R D2 U L2 F' D L2,D' B2 D F D' B2 D F',40
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,L' R2 U' F2,F2 D' B D2 B2 D B F2,R' D2 L' F R F L,B' D' B L2 D2 B2 R' B2 R B' D' L B L,L2 U' L' D2 L U L' D2 L',42
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,R2 U' L' F',B2 R2 F R B2 F2 R,B F' R' B' F D',D' R' B2 U' F' L2 B' L' F R' F L U' R2 B',L' F2 L' B L F2 L' B' L2,41
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L' F U R2 B',U2 B L' U2 B D2 B',F' R F R' B R B',L' R D2 R2 B R' F U2 R2 D2 B2 D2 B' L B2,R2 B L2 B' R2 B L2 B',42
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D' F' U' L2 R',B D L' U2 L R2 D R2 B',D L' B F2 R' B' F2 L,B U2 L D' R' B2 L' R U2 B' D' B' L B L',R2 D B2 U' B D B2 U B2 D' B R2 D',50
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L' B U L F2,F2 D2 U' B' R U R' F2,R' D' R D B R B',D L' R2 F' L2 R U F' L F U B2 U2 L' R,B' F' D B U' B U' B D' B2 U2 F R2,48
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,D2 B2 R2,D' F2 R B D2 F2 D2 B',F' L' B R B' L F D',R' F2 U R F' U2 F' L U2 R D' L2 D2 F L' B2,D' B2 D F D' B2 D F',43
