scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,F R2 F D L' D2 L',F R2 D' L2 R' U2 L2 U R',B2 D2 L' R U2 B' L R' B2 U' F2 D2,R2 F' U' L' D B' L B U L' D' L F R2,42
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,B' L2 R D L D',F2 L' U2 F' U F2 U L U' F U2,L' R' F L2 D2 F L R' D B2 R2 U' L2,L2 F' R' F R2 B' R B' L' R D2 L' R,43
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,L2 F' D' B L D2,F2 U' F L2 U' R U B' L2 U R',B' R F D' L F' L2 F' L2 D2 R' D' B,R' B' D R2 D' B2 D R2 D' B' R,41
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,B U' B F' U2 R2,D' U' B' L' B D U' F' U2,B F' D' U L R2 U' L D B U' F' U,B' D R U' B' D B' D2 U R2 D R D' B,42
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,R B' L' R' D2,L D' L' D R' F2 D' F R F',L F2 L D' L F D' B2 R2 F' R' B2 D L,L2 R2 B' F' D B' D' R' B' R B2 F L2 R2,43
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F L2 F2 D' F' R',D2 R' B2 L B2 L F' L' D R,U2 L F L2 F' R' F L' R' D L2 R2,B D U2 L2 D' L B L U2 F D' R' B' D F',43
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,U2 L2 B F2 D' R',L' R B2 U2 B' R' F L2 F L' F,F' R' D' U' R F R' D U R F,B' F2 R B' D B' D' B' R D' R' D B' R' F2,43
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L D2 B L U' B D',U2 R' D2 R B F' L' B' F',L2 R2 D2 L R' B L R' U,L B2 L' B' F' U' B U R B R' F L B2 L',40
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,U F L2 F' D,U' L U R' D2 L D' R U' L',B' R' D' F L D' B2 U2 B2 D2 R B F,F' D R' U R U' B U2 F' L F U2 B' D' F,43
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,B2 R B2 R F R',L F2 L B' U' B L2 D U F' D',F D2 B2 U' L' U L F2 U' B2 F D2,B' R U' B U' B D' U' F' R2 F D R' U B' U2,45
