scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B D2 L' B' R2 U2 B' L',D R' B' D' R U' R' D B D F R F' D2,B' L2 U2 L2 B2 D2 R2 D2 B',,31
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,B' F' D U' B2 L' U' B2,B' F' L' F2 D L' D B F' R2 D R' D,U' B2 R B' D R' U' R D' R' U B' U,B2 R' D F2 D' R B2 R' D F2 D' R,46
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,R2 D U F' L' B R' B,F' R2 B R' B D' U2 B D B L2 B R' F,U' B D2 F' R' F R D R' D B' U,L U2 R' F R' F' R2 U2 L' B',44
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,D' B F' U R D2 U2 F',U' L B' U2 L U2 F' L2 U' B' U B2 U,D2 U F2 L' F' L2 D' L' D2 F' D U',U2 F R2 B R2 F' R' B' R U2 R' B R,46
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U2 L' F2 D B F' L',F R D' L D2 L' F2 R' F2 D' R' F',U' B D' R' F' R' U' R U F D B' U,R' U2 L2 F' L' F L' U2 R B',42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,U2 L' B R2 B2 D R' D',B2 F' R U B' U R F D2 R' U' R' B',L U L' D L2 U' F' L2 F D F' D2,R' U2 L2 F' L' F L' U2 R B',43
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U2 R' D' F2 R2,D F' U' B' R2 B' F U L' R2 B2 F2 L B2,B' L2 U2 L2 B2 D2 R2 D2 B',B2 R' D F2 D' R B2 R' D F2 D' R,40
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F L2 F R' D' B2 U' F2,U R2 B L U2 B' L' R2 D2 L' F2 D2 L U',L' U2 R B L B' L' R' U2 L2 U L' U',L U2 R' F R' F' R2 U2 L' B',45
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,F' L B R2 U L' F' R,R2 U2 R' B' L2 B' U B F R' F' D2 U L,U' B2 D' U2 R2 B U B' D U' B2,R' D F2 D' R B2 R' D F2 D' R B2,45
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,L' U' R B F' D U' B',R' F2 D U' L' F2 L U2 L' F L F' U' R,R2 U2 B2 L' B' L B L U2 R2 U L' U',R' D F2 D' R B2 R' D F2 D' R B2,47
