scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,L' U2 B R' B' F' L',B2 F L' F' L' F' L B D2 B,U F' L2 F2 R2 D' F2 L2 B F R' B U',U F U' F' U L2 F' R' F L' F2 L' R F,44
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,R2 F D2 R' B2 L2 D R',R B R2 F R' B2 D2 B R F' D2 R,R D2 F' D' F' L' U' F U L D' R',R2 B2 R' F2 R B2 R' F2 R',41
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,F' L' D' L' F2 U R2 F',L2 F2 L F2 U' L U' F2 U2 F L,L F' R F L R' D' L' F L',D F D' F D F2 R2 B U B' R2 D',41
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,R2 D' F R2 D' L2 R' F2,F2 U2 F U2 F L2 U L2 U' R' D' R,R2 U' L' U2 B L' R D' B2 R D L2,R' B2 U B U' B R' U R B R' U' R2,45
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,L' B F' R U' F D' L',F R' D' U B' L' B D' U' R F2,F' R2 U' L' R B L R F,L D2 F' U2 F D U L' U2 L D U' L',41
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,D' U' B2 F2 U' B' D2 L2,F2 D' B2 F R2 F L' B F' L R2 B2,R2 U' L' R B' L R' U2 R2,D2 B' D2 F2 D' U B U B' D B' U2 B F2,43
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,L B2 R2 B D2 B2 D' R' B',B U B2 L' D F L2 F' L' B2 U' B',F2 L' R' B' L R F2 R2 U' R2,L2 B U L' F D' F' L F D F' U' B' L2,45
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,U2 L R B2 F' R',R2 D2 F R' B2 U2 F L2 U2 B2 D F',F D2 U2 R' D L' R F' L D2 U2 F',L2 F' U' B U B2 R2 F D F' R2 B F L2,44
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,R2 D2 B' R' F2 R' U',B' U2 R D L' R' D L D' R U2 B,F' D F L R' D' B' D U2 L' R B2,R' D R' D' R2 F2 L' U' L F2,41
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,B F D U L' B' D' U L2,B' D' F D F D2 L' D2 L B F2 D',U' F2 R2 B F' U2 R B F' U' B2 U,L2 U' B R F2 L D2 B2 L F U F U2 B L2,48
