scramble,orientation,step_0,step_1,step_2,total_moves
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,B' R B' U' F R2 D B' L,B2 U' B2 R2 F' L R' B' L' D2 F' D2 F R',D' U' R U R F2 L B' D' B L' F2 D,36
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F D' B' R2 F D2 U R B2,D' U' B' F2 D' B' L2 F2 U' B2 R U R D,B U' L' D' R' B' R D L U,33
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,R' F2 L2 U R F' U' R' F,D' F' L' B2 F' U F L F2 U B2 U' B2 R' F',D B2 F2 U' B' U B2 F2 D' B,34
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,B2 L2 F' L2 U R F' U,F2 D' L B' D L' D2 B U' B L B2 F2 D' R,R B' R' U' B' U2 R' U' R U' B U,35
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,B' D B2 D B' U R U F2,U F' U' L2 U' R' D' R' B' L2 R2 U2 F U F',U' L B L' U B2 L U2 L U2 L' B L' B,38
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,B' L2 R D R' U L D' U' F,L B L B U' R B L' D B D2 L B L2 R',D' B' F L D' L' B F' D R,35
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,F R' D B2 L' B' L' R2 D',R2 D L2 R F' U F2 U L2 U2 L R B' U' L',U' L' D' B' D L U R B R',34
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,L' U' B2 R2 U2 B D' F2 U B2,F' U2 L R' D B R' F' R D' U2 F R B2 R2,D' R2 D B' U2 B2 F' R' U2 R B2 F U2 B,39
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,B' D L' D' R2 F' D' F',U R' F U R' F2 R2 B U' F2 L2 U B' U2 F,B R B' R' U' B' U' B' U B' U' B2 U2,36
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,D' L F2 L2 U F' D' R2 D',F' U2 F' D B2 L U' B' L2 R2 B' U' F R D2 F,B' F' L2 F' D F' D' F2 L2 B' U' B2 F,38
