scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B' L' R2 F' D' U' L2,R2 F2 R F D2 F' L B' L' F D F D,U2 B2 F' L B L B' L' B2 F U2 B2,L U' R2 U L' U' R2 U,40
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L B' L U' R' F2 R,F' D R' D2 F' R B F2 D2 B' D,U2 B U R B R' U' B2 U B U,B2 U R2 D2 L' D R' D R' D L D' U',42
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U2 R2 U' R F D' U,R U B F2 R B' D U' R D',R B2 R' B' R B' R',L2 D' L2 D F' L2 U L2 U' F2 D F' D',37
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U' F U2 B' L2 R U2,D' U2 L D2 U2 R2 F' D2 F R D',U' L2 D' U' B U' B2 D B U2 L2 B2,D' F2 D B2 D' F2 D B2,38
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U2 L' F' U B' U' R,R B2 L2 D2 B U2 R2 F2 L' D2 U2,B' F D B' L U' B U L' B D' F',R U' F2 U R' B2 R U' F2 U R' B2,42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U' R' B' F L' D',F2 R2 F L U2 L2 D2 L R2 B' F,B U R2 D2 L' F' L D2 R2 U' B',D U L' D' R D' R D' L D2 R2 U' B2,41
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,D B' L R D2 F U',F' R D' R2 B' L2 F R U L2 B' R' F,B U L' B2 L B' R B R' U2 B2 U' B,F2 D' F' U2 F D F' U2 F',42
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F' L' F R' F,R2 B2 U R2 U2 B2 U2 F D U' R D',L2 F2 R B R' D R2 D' F2 L' U L B' L2,L D2 L' U' L D2 L' U,39
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,B' R F' R2 U R2 D',U' F' R' B2 R' U2 B L' R2 U B L,R2 U2 R' U' R2 U' L' F D B2 F' L R2,B2 D' F2 D B2 D' F2 D,40
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R2 U' L U L' R',F2 R' U' B' D2 U' B' U' L' D2 U' R F',R' U' R' U R' F2 L D' L' F2 R',R F2 R' U B2 U' R F2 R' U B2 U',42
