scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,R U2 L' F' R B' U',L U' F R2 B2 D' L' B' R2 F2 L,L F L F2 D' B' L2 B D2 F2 D' L2,L' F' U' L' R' D L' R F' L2 U F L,43
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D' U2 B' U F' R D F2,L2 B F U' F U B' L F2,F D F' R F' D' L2 D R' D2 L2 D F,D' B2 U' F L U L2 U' F' L' U B2 D',43
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B R' B2 D B' L U2 B2,L' F2 D2 U' B' U' B D2 L' U F2 L,U' F R' D' B R2 F' R2 B' R U,B' F' D' L' D U2 F' U2 B L F L,43
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,R' U F L' F' D B2,U R U2 B U2 L2 R' F' U L2 F2 U',D' B' U2 B D' B R B2 U2 B D2,F D F2 L U L F L2 F' U' F' L' D' F',44
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,F R F' L2 U' B2 F',R2 D' L' D2 L D' L2 B2 L2 B' R2,D' U' L' U' F2 R U L F2 U' R' U2,F' D B' F L' F L' B F' D,40
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U F L2 D B2 D2,B' U' B L2 F' L' F2 U F' U2 F,U2 F L' F L D2 B R2 B' D2 F' U2,L2 B D B' D B' F L' B2 F' D' B' L2,42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,B2 D R B F D2,F2 D' L' U2 L D R' F2 L' R,U2 F L' F L D2 B R2 B' D2 F' U2,F' D B' F L2 B2 F2 R F R' B' F D,41
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F D B' L2 F' R' U2,R2 B D' L' B D2 U' L D' U R2,D2 B2 U' B L2 B' U2 F U' B2 D',U R' F2 L' F L2 R2 B' L2 R' U2 L U',42
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D2 U' B U R,F2 U' F R' D L F2 L2 U' F U R U,R U2 F D2 B' R2 B D2 F' R',D' L2 B' L' U' F' L2 F L U B D,40
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,U B2 D R' F2 D2 F,L R' D' R F2 U' L2 B' F2 U' B U L,D R' F2 R F D' F R' D2 R' D2 R2,L B' D' U R B' R' D U' B,42
