scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U2 R F' D2 B R' D B2 U,F' R2 U R2 D' B' U2 B D U F,R2 D2 L B' U B U' B L' B' D2 R2,B U' R2 U B' U' B R2 B' U,42
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,F R2 D2 F L' R D' L' B,D' U L2 F' D B' R F2 R' B D' L2 D,L' B2 L' F L B2 L' F' L2,D2 F2 D' B' D F2 D' B D',40
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,U' R F' D L' B L D,U2 F L B2 D B2 F D U' F' D' L' F',U B' U' B F2 R2 U' L U L' R2 F2,U' B U F' U' B' U F,41
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,R2 D U B F2 U2 L' R U',B' L2 R2 B' R2 B L R D B D' L B,L B L' B' U2 L U L U' L2 U2,F' D L2 D' F R2 F' D L2 D' F R2,45
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,B2 R F L2 B2 D L2 D,U R2 U L' F2 D' B D' B D2 F2 L R2,L' B2 L' F L B2 L' F' L2,B2 U2 B D2 B' U2 B D2 B,39
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D R U2 F R B L D L2,U F2 D' L' F' D' R B2 R' D2 F' U,D B2 R D' R D' F D F' D R2 B2 D',B' D2 B' R U2 R' B D2 B' R U2 R' B2,47
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B2 F' L R D2 U' B U,F U R F2 R' D' U' L' D' L' D2 F',D B' D2 F U' L2 U F' D' B2 D2,F' U2 L B' U2 B U2 B L B' L2 F U2,44
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,L' D2 B R' D U B L2 U2,D' F2 L U' F' L F' D B2 L2 D L2 B2,U' R' U2 F2 L' F2 R U' F2 D' B2 D F2,R' B' R F R' B R F',43
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,L2 B R2 D' R F2 L B2 U',U2 R D' U2 F2 L U' F' L' F' D R,R D2 F U' L' D' U B2 D F' D2 B2 R' B',F' U' B U F U' B' U,43
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R2 U2 R U' B2 R' F' U' B,D2 U2 B D2 F2 R2 D2 B' L D2 U F U,U' R2 U' F' U' F U2 R2 B U B',R2 U R2 U' B R2 D' R2 D B2 U' B U,46
