scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D' R F2 U2 L2,U R' D R U' B2 D' R2 U',R D B R B' R' D',F R F' R' U2 B' R' B R U2,F' D' U L F L' D U' F R',41
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,L F2 U' L2 D',U' R D2 L2 B D F D F U,F U F R' U' F2 U2 F U2,F L D L' B F' D R' D' B',U' R' B2 R2 B R' B' R' B2 U R,45
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,B' U R' B' D F',D R D' B D' B2 L2 U' L2 U B,L' F2 L' U2 L F2 L R',R' B R2 U B U' B' R2 U' B' R2,B2 L' R2 D2 L R D2 R B2 U L' F2 L U',50
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,D2 B' D' L' B' D,L U' L' R D' U B' U' B D,R2 D R' D L2 B L2 D2 F,F' L' R' B U' B' F R F' L R F,L' U' R' B' R' D R' D' R2 B U L R,50
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L2 D' L' U F' D',U' R F2 U F2 U2 R' B' U' B,R' B R' D B D' R B',L2 F R F R2 U F2 U' R2 F2 L2,U L F D2 F L2 U2 B R U R U2 L U2,49
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D2 R B' D F D2,R U2 L F' U' F U F2 L',B D2 F2 R B' R' F2 D2 B',F R F' R' B F' U F U' B',U' L B' R' F R' F R' B L' R2 U' R,47
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,L2 D' F D R' D2,U2 B' U R B U2 F2 U' F2,B' R B R U R' U' R',L2 U L D' F' D F' L' U' L2 R,B U' B2 L D2 L' B2 U' R F2 R' U2 B',47
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,L2 F' U2 B L',D U' L U L' B R D' R2 U,F L' U B U' B' L F2 R' F,F' D' U F D U' R' F,R' F D B R D R2 D' B' D R2 D2 R' F',47
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L2 R U F2 D',B2 R D B U2 R2 D' B R2 U,L B' D B' D' B2 L',R2 D R D F2 R2 D2 F D' F' R2 F2 D2,R' U2 F' D F U' R' F' R D' F R U',48
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,F2 D' L2 B L2 U,B' U R' U' F' R2 F R' B2 U2 B',L' D2 L B' L' D2 L,L2 R F2 R' U F U' F' L2 B2 R' B2 R',R2 B U' B2 D' B2 U' F U2 B U2 L2 U2 B2,51
