scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,R2 F U2 R2,U R U2 F' R' B2 R U,L2 F D L D' B' F' L2,L' U B U' B' L2 D' B' D B L',,31
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,R2 B2 U2 L U',L F U2 L R2 B D' U2,D L' D2 F' R2 F L B' D',R' F' U B2 U' R U B U' R' B F R B2,R B' R' B' R2 F D B D' B' F' R2 B2,49
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,R' F2 R',F' R' B2 L2 B' D R U2,L2 U B R D2 R' B' U',D2 F L F' L' D2 L B U L B' L' U' B2,,33
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L F2 D2 U L2 F,F L R' D B' L' D R F2,U' L' U B2 F2 L U2 L' F2,F R U B2 U' R' U B2 F' L' U' L U,,37
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,L F D2 R,D2 B F' L' F2 L R2 F,B' U2 B R2 F2 R2 B' U2 B,D F U' L' U' L' F' D F2 R2 F2 D2 B2 L' B,R B' R' B' R2 F D B D' B' F' R2 B2,49
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,B' D R' F' U',B U R D F D' F' U' L',L R D R' B' F U F' L2,B' R' B L' B2 D2 R' D2 L B2 D L D' B' R,,38
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,D F2 L2 F' U',F' L B' R2 D2 R U2 F',U L2 D' B2 U2 B D B,D B' D2 F' R D F' U2 F R2 D B D F D2,,36
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,R' U2 F' D L U',L2 F2 U' F U' F R D,L2 R2 U' F D' U L' D L2 R2,D U B' U' B D2 U B' D L2 U' L2 B' U' L2,R B' R' B' R2 F D B D' B' F' R2 B2,52
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U L' B2 L2 U',D2 L' U2 B U' B L' D2 F2,U2 L' B2 R D L2 R' U' B',B D2 B2 D B2 F2 D' R2 D R' B2 F2 L D B',R B' R' B' R2 F D B D' B' F' R2 B2,51
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,B2 R U L U',F2 U F L2 B' D U2 L2,R' U R' F' R U' R,B2 R' B D2 F' U' L2 D2 R' D B' L2 D2 U2 R D,R B' R' B' R2 F D B D' B' F' R2 B2,49
