scramble,orientation,step_0,step_1,step_2,total_moves
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L' D' R U' R F2 U2 R2,R D2 F2 D' L2 R2 B' D R2 B D' U' L' R',U R2 U L' U' R2 U L U2,31
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,L' F2 R U2 F' D F2 D,L D U2 B' U B' D2 L2 U2 F2 R2 D' L',B2 D2 B D2 B' R F L2 F' R' D2 B2,33
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D2 L' F' U' L2 F D,D R B F' U' L2 F' D2 L R' D B2 L F,B F U2 F R' F' U2 B' F2 D R D' R' D' F,36
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,R' U B R2 B2 L2 D' L2,F2 U F' D2 L' B2 R2 B U2 B' R' D' B2,L D' U2 F' R' D' F D' U2 B D' B L' B2,35
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,U2 F' L' F L' R' D R,R U R D2 U B' U' R' F' R' D2 L2 F',R B' F2 U B L B' U' B F2 R' D',33
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,R F' D' L B2 R2 D U',B' R2 D2 F2 L U2 F R' F D B' R2 D R2,D2 R2 F R B' R2 D L2 D' R2 B R' F' R2,36
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,D U' F D' L2 F2,B R' D' U F L2 U' B R B' R B' D F2,D' B2 F2 U' B2 R' B R' U' R' B' R' F2 D,34
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,R' F2 L' U' B' F' U' R,D' B R2 B2 R2 B U' L U' F' L' D U2,L' D' L' B2 F' R' B' D R D' B2 F L' B L',36
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,B' U2 F R B' F2 D' U2,U L2 U2 L D' B2 D F' D U F R' U B2,F' L D2 L' R2 F L U L U' F' R2 D2 L' F,37
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,R B' L2 R' F L2 U' R,U L2 B' R2 B D L2 B' D2 R D2 B F2 D',L2 D' B' D B2 F' D' F D' B2 D L B F' D' F,38
